entropy,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,add_median_degree,del_max_degree,contains_bug
3.803733828,45,94,2.0889,2.0889,17,188,4,3,14,TRUE
4.361323119,24,44,1.8333,1.8333,12,88,3,3,11,TRUE
1.982454961,0,0,0,0,0,0,0,0,0,TRUE
3.559761255,0,0,0,0,0,0,0,0,0,TRUE
2.566718033,37,76,2.0541,2.0541,15,152,4,3,13,TRUE
2.844771366,0,0,0,0,0,0,0,0,0,TRUE
2.030774632,0,0,0,0,0,0,0,0,0,TRUE
4.501067388,0,0,0,0,0,0,0,0,0,TRUE
1.785209043,0,0,0,0,0,0,0,0,0,TRUE
3.892013106,0,0,0,0,0,0,0,0,0,TRUE
3.126348963,35,68,1.9429,1.9429,15,136,4,3,17,TRUE
1.876091712,43,98,2.2791,2.2791,18,196,4,3,20,TRUE
4.442986504,38,91,2.3947,2.3947,18,182,4,3,19,TRUE
5.56968724,45,137,3.0444,3.0444,28,274,6,4,35,TRUE
2.395772354,41,89,2.1707,2.1707,19,178,4,3,13,TRUE
3.543187403,45,110,2.4444,2.4444,24,220,4,3,20,TRUE
3.167766294,33,60,1.8182,1.8182,12,120,3,3,10,TRUE
1.849190418,0,0,0,0,0,0,0,0,0,TRUE
2.952696511,38,83,2.1842,2.1842,16,166,4,3,14,TRUE
3.250663998,34,79,2.3235,2.3235,16,158,4,3,13,TRUE
3.314902856,15,19,1.2667,1.2667,8,38,2,2,8,TRUE
3.8427507,0,0,0,0,0,0,0,0,0,TRUE
3.29611256,33,68,2.0606,2.0606,15,136,4,3,16,TRUE
2.448267248,27,51,1.8889,1.8889,12,102,3,3,11,TRUE
1.188522785,11,16,1.4545,1.4545,7,32,2,2,9,TRUE
1.347159811,21,37,1.7619,1.7619,10,74,3,3,10,TRUE
3.173091124,32,62,1.9375,1.9375,15,124,3,3,16,TRUE
0.183122068,18,25,1.3889,1.3889,8,50,2,2,7,TRUE
5.96839731,6,7,1.1667,1.1667,6,14,2,1,6,TRUE
3.196378845,38,97,2.5526,2.5526,20,194,5,4,15,TRUE
3.187630048,31,51,1.6452,1.6452,11,102,3,2,4,TRUE
4.987283594,37,89,2.4054,2.4054,17,178,4,3,12,TRUE
1.76955863,22,35,1.5909,1.5909,9,70,3,2,8,TRUE
2.864804166,23,39,1.6957,1.6957,12,78,3,2,13,TRUE
2.196824816,28,47,1.6786,1.6786,12,94,3,3,9,TRUE
6.77788964,57,160,2.807,2.807,37,320,5,4,29,TRUE
2.693211916,34,75,2.2059,2.2059,15,150,4,3,19,TRUE
1.816788438,0,0,0,0,0,0,0,0,0,TRUE
4.144679765,26,45,1.7308,1.7308,14,90,3,2,15,TRUE
3.992992903,0,0,0,0,0,0,0,0,0,TRUE
5.001707199,0,0,0,0,0,0,0,0,0,TRUE
2.636838328,30,57,1.9,1.9,14,114,3,2,9,TRUE
1.845350937,12,16,1.3333,1.3333,8,32,2,2,0,TRUE
2.932890908,0,0,0,0,0,0,0,0,0,TRUE
4.263370013,41,101,2.4634,2.4634,22,202,4,3,18,TRUE
1.314079375,0,0,0,0,0,0,0,0,0,TRUE
1.480118463,14,18,1.2857,1.2857,8,36,2,2,8,TRUE
1.094914318,23,34,1.4783,1.4783,10,68,2,2,7,TRUE
1.49270631,20,28,1.4,1.4,9,56,2,2,9,TRUE
2.734460338,31,57,1.8387,1.8387,14,114,3,3,8,TRUE
2.17725759,16,23,1.4375,1.4375,10,46,3,2,9,TRUE
2.74484257,23,33,1.4348,1.4348,9,66,2,2,0,TRUE
1.194173734,24,36,1.5,1.5,10,72,3,2,7,TRUE
3.6060196,36,76,2.1111,2.1111,16,152,4,3,15,TRUE
5.317933545,37,93,2.5135,2.5135,16,186,5,4,16,TRUE
3.333793252,31,70,2.2581,2.2581,16,140,4,3,22,TRUE
3.456013363,32,67,2.0938,2.0938,13,134,4,3,13,TRUE
0.991264261,19,26,1.3684,1.3684,10,52,2,2,0,TRUE
4.526301557,30,69,2.3,2.3,20,138,4,3,19,TRUE
4.748236933,34,73,2.1471,2.1471,17,146,4,3,10,TRUE
5.830550717,0,0,0,0,0,0,0,0,0,TRUE
3.082336414,0,0,0,0,0,0,0,0,0,TRUE
1.383136807,0,0,0,0,0,0,0,0,0,TRUE
6.40393783,0,0,0,0,0,0,0,0,0,TRUE
2.809004222,0,0,0,0,0,0,0,0,0,TRUE
2.887847916,0,0,0,0,0,0,0,0,0,TRUE
5.321216774,32,55,1.7188,1.7188,13,110,3,3,10,TRUE
1.936608463,42,81,1.9286,1.9286,16,162,3,3,18,TRUE
3.604379367,0,0,0,0,0,0,0,0,0,TRUE
0.764204507,15,26,1.7333,1.7333,10,52,3,3,8,TRUE
0,0,0,0,0,0,0,0,0,0,TRUE
2.775457293,30,56,1.8667,1.8667,13,112,3,3,12,TRUE
0.754034056,0,0,0,0,0,0,0,0,0,TRUE
1.809060755,0,0,0,0,0,0,0,0,0,TRUE
2.827275354,23,36,1.5652,1.5652,10,72,3,3,6,TRUE
2.547255575,32,68,2.125,2.125,13,136,4,3,12,TRUE
3.455730702,37,85,2.2973,2.2973,24,170,4,3,20,TRUE
3.129888166,34,76,2.2353,2.2353,19,152,4,3,9,TRUE
2.647847411,0,0,0,0,0,0,0,0,0,TRUE
4.132687439,0,0,0,0,0,0,0,0,0,TRUE
2.410463253,0,0,0,0,0,0,0,0,4,TRUE
1.953323235,40,81,2.025,2.025,17,162,4,3,12,TRUE
1.667780289,18,24,1.3333,1.3333,9,48,2,2,7,TRUE
4.066734211,26,52,2,2,12,104,4,3,3,TRUE
5.241807795,0,0,0,0,0,0,0,0,0,TRUE
1.773828705,0,0,0,0,0,0,0,0,0,TRUE
3.554243038,0,0,0,0,0,0,0,0,0,TRUE
2.707458769,24,40,1.6667,1.6667,13,80,3,2,14,TRUE
2.712488412,15,19,1.2667,1.2667,8,38,2,2,8,TRUE
0.42210863,0,0,0,0,0,0,0,0,0,TRUE
1.427129078,19,26,1.3684,1.3684,9,52,3,3,7,TRUE
3.824795417,22,41,1.8636,1.8636,15,82,3,3,21,TRUE
4.353407477,0,0,0,0,0,0,0,0,0,TRUE
2.830898488,0,0,0,0,0,0,0,0,0,TRUE
2.40643759,0,0,0,0,0,0,0,0,0,TRUE
4.178431769,28,62,2.2143,2.2143,16,124,4,3,21,TRUE
2.603446288,0,0,0,0,0,0,0,0,0,TRUE
4.067913652,15,22,1.4667,1.4667,8,44,2,2,10,TRUE
2.325314999,0,0,0,0,0,0,0,0,0,TRUE
0.952751996,0,0,0,0,0,0,0,0,0,TRUE
1.640223929,0,0,0,0,0,0,0,0,0,TRUE
2.815027993,0,0,0,0,0,0,0,0,0,TRUE
2.610691215,0,0,0,0,0,0,0,0,0,TRUE
3.130006995,0,0,0,0,0,0,0,0,0,TRUE
5.18499847,0,0,0,0,0,0,0,0,0,TRUE
1,0,0,0,0,0,0,0,0,0,TRUE
2.596677031,0,0,0,0,0,0,0,0,0,TRUE
2.568025281,0,0,0,0,0,0,0,0,0,TRUE
1.974953649,0,0,0,0,0,0,0,0,0,TRUE
1.526337631,0,0,0,0,0,0,0,0,0,TRUE
3.016121621,0,0,0,0,0,0,0,0,0,TRUE
3.964118224,0,0,0,0,0,0,0,0,0,TRUE
8.238956442,0,0,0,0,0,0,0,0,0,TRUE
2.571233594,0,0,0,0,0,0,0,0,0,TRUE
1.584962501,0,0,0,0,0,0,0,0,0,TRUE
0.661617906,0,0,0,0,0,0,0,0,0,TRUE
0.918295834,0,0,0,0,0,0,0,0,0,TRUE
2.530639062,0,0,0,0,0,0,0,0,0,TRUE
1.238490312,0,0,0,0,0,0,0,0,0,TRUE
1,0,0,0,0,0,0,0,0,0,TRUE
0.811278124,0,0,0,0,0,0,0,0,0,TRUE
2.267150034,0,0,0,0,0,0,0,0,0,TRUE
2.179573159,0,0,0,0,0,0,0,0,0,TRUE
2.280831489,0,0,0,0,0,0,0,0,0,TRUE
0.615765099,0,0,0,0,0,0,0,0,0,TRUE
1.521928095,0,0,0,0,0,0,0,0,0,TRUE
2.178470172,0,0,0,0,0,0,0,0,0,TRUE
1.224394445,0,0,0,0,0,0,0,0,0,TRUE
3.111553728,0,0,0,0,0,0,0,0,0,TRUE
3.102781212,0,0,0,0,0,0,0,0,0,TRUE
0.522559375,0,0,0,0,0,0,0,0,0,TRUE
1,0,0,0,0,0,0,0,0,0,TRUE
1.698886634,0,0,0,0,0,0,0,0,0,TRUE
0.918295834,0,0,0,0,0,0,0,0,0,TRUE
2.350216283,0,0,0,0,0,0,0,0,0,TRUE
0.543564443,0,0,0,0,0,0,0,0,0,TRUE
0.918295834,0,0,0,0,0,0,0,0,0,TRUE
1.353742756,0,0,0,0,0,0,0,0,0,TRUE
1.692648049,0,0,0,0,0,0,0,0,0,TRUE
1.566536001,0,0,0,0,0,0,0,0,0,TRUE
1.937516904,0,0,0,0,0,0,0,0,0,TRUE
0.40217919,0,0,0,0,0,0,0,0,0,TRUE
1.854285872,0,0,0,0,0,0,0,0,0,TRUE
1.909547191,0,0,0,0,0,0,0,0,0,TRUE
1,0,0,0,0,0,0,0,0,0,TRUE
1.610274518,0,0,0,0,0,0,0,0,0,TRUE
1.945731763,0,0,0,0,0,0,0,0,0,TRUE
1.534160034,0,0,0,0,0,0,0,0,0,TRUE
1.917550757,0,0,0,0,0,0,0,0,0,TRUE
2.10784782,0,0,0,0,0,0,0,0,0,TRUE
1.573017485,0,0,0,0,0,0,0,0,0,TRUE
0.353359335,0,0,0,0,0,0,0,0,0,TRUE
1.531620877,0,0,0,0,0,0,0,0,0,TRUE
1.20101438,0,0,0,0,0,0,0,0,0,TRUE
1.483219446,0,0,0,0,0,0,0,0,0,TRUE
1.331646716,0,0,0,0,0,0,0,0,0,TRUE
1.752715279,0,0,0,0,0,0,0,0,0,TRUE
0.067896401,0,0,0,0,0,0,0,0,0,TRUE
1.931374729,0,0,0,0,0,0,0,0,0,TRUE
1.283987104,0,0,0,0,0,0,0,0,0,TRUE
0.970950594,0,0,0,0,0,0,0,0,0,TRUE
3.536434801,0,0,0,0,0,0,0,0,0,TRUE
0.621246575,0,0,0,0,0,0,0,0,0,TRUE
1.822245747,0,0,0,0,0,0,0,0,0,TRUE
0.056678048,0,0,0,0,0,0,0,0,0,TRUE
1.918295834,0,0,0,0,0,0,0,0,0,TRUE
2.097290058,0,0,0,0,0,0,0,0,0,TRUE
1.963608376,0,0,0,0,0,0,0,0,0,TRUE
1.235168621,0,0,0,0,0,0,0,0,0,TRUE
10.13135282,0,0,0,0,0,0,0,0,0,TRUE
1.926502397,0,0,0,0,0,0,0,0,0,TRUE
1.836591668,0,0,0,0,0,0,0,0,0,TRUE
1.53748081,0,0,0,0,0,0,0,0,0,TRUE
1.68134768,0,0,0,0,0,0,0,0,0,TRUE
2.561971282,0,0,0,0,0,0,0,0,0,TRUE
2.755294496,0,0,0,0,0,0,0,0,0,TRUE
2.743220666,0,0,0,0,0,0,0,0,0,TRUE
1.09753784,0,0,0,0,0,0,0,0,0,TRUE
2.357554785,0,0,0,0,0,0,0,0,0,TRUE
1.569445262,0,0,0,0,0,0,0,0,0,TRUE
4.148912277,0,0,0,0,0,0,0,0,0,TRUE
0.815728291,0,0,0,0,0,0,0,0,0,TRUE
0.852405179,0,0,0,0,0,0,0,0,0,TRUE
1.556656707,0,0,0,0,0,0,0,0,0,TRUE
0.970950594,0,0,0,0,0,0,0,0,0,TRUE
0.853566964,0,0,0,0,0,0,0,0,0,TRUE
1.765992306,0,0,0,0,0,0,0,0,0,TRUE
2.584274644,0,0,0,0,0,0,0,0,0,TRUE
0.150579838,0,0,0,0,0,0,0,0,0,TRUE
1.67673703,0,0,0,0,0,0,0,0,0,TRUE
0.918295834,0,0,0,0,0,0,0,0,0,TRUE
1.598609735,0,0,0,0,0,0,0,0,0,TRUE
0.811278124,0,0,0,0,0,0,0,0,0,TRUE
2.128085279,0,0,0,0,0,0,0,0,0,TRUE
1.993242843,0,0,0,0,0,0,0,0,0,TRUE
2.128085279,0,0,0,0,0,0,0,0,0,TRUE
0.918295834,0,0,0,0,0,0,0,0,0,TRUE
0.721928095,0,0,0,0,0,0,0,0,0,TRUE
0.591672779,0,0,0,0,0,0,0,0,0,TRUE
1.122607968,0,0,0,0,0,0,0,0,0,TRUE
1.212661209,0,0,0,0,0,0,0,0,0,TRUE
8.574013856,0,0,0,0,0,0,0,0,0,TRUE
2.295018827,32,66,2.0625,2.0625,14,132,4,3,10,TRUE
1.73159158,20,29,1.45,1.45,8,58,2,2,8,TRUE
0,14,17,1.2143,1.2143,7,34,2,2,0,TRUE
7.880160016,0,0,0,0,0,0,0,0,10,FALSE
0.918295834,0,0,0,0,0,0,0,0,0,FALSE
1.263544241,0,0,0,0,0,0,0,0,0,FALSE
0.591672779,0,0,0,0,0,0,0,0,0,FALSE
0.772369358,0,0,0,0,0,0,0,0,0,FALSE
1.889246429,8,9,1.125,1.125,4,18,2,2,5,FALSE
0.407155916,0,0,0,0,0,0,0,0,0,FALSE
0.845350937,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
1.292755874,0,0,0,0,0,0,0,0,0,FALSE
1,0,0,0,0,0,0,0,0,0,FALSE
0.918295834,0,0,0,0,0,0,0,0,0,FALSE
1.244536621,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0.863120569,0,0,0,0,0,0,0,0,0,FALSE
0.688765039,0,0,0,0,0,0,0,0,0,FALSE
2.96938942,4,4,1,1,5,8,2,1,5,FALSE
0.174371453,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0.353359335,0,0,0,0,0,0,0,0,0,FALSE
0.076424293,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
4.160794103,0,0,0,0,0,0,0,0,0,FALSE
1.240670532,0,0,0,0,0,0,0,0,0,FALSE
1,0,0,0,0,0,0,0,0,0,FALSE
0.721928095,0,0,0,0,0,0,0,0,0,FALSE
0.811700993,0,0,0,0,0,0,0,0,0,FALSE
0.954434003,0,0,0,0,0,0,0,0,0,FALSE
2.328972389,0,0,0,0,0,0,0,0,0,FALSE
1.867796019,23,32,1.3913,1.3913,9,64,2,2,8,FALSE
0.097940583,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0.918295834,0,0,0,0,0,0,0,0,0,FALSE
3.139914749,0,0,0,0,0,0,0,0,0,FALSE
0,12,17,1.4167,1.4167,8,34,2,2,0,FALSE
0.881290899,24,36,1.5,1.5,11,72,3,2,8,FALSE
0.918295834,0,0,0,0,0,0,0,0,0,FALSE
1.662325085,0,0,0,0,0,0,0,0,0,FALSE
1.248268258,0,0,0,0,0,0,0,0,0,FALSE
1.943626623,20,33,1.65,1.65,10,66,3,2,7,FALSE
2.823927089,22,46,2.0909,2.0909,13,92,4,4,12,FALSE
0.432543089,22,39,1.7727,1.7727,10,78,3,3,9,FALSE
0.764204507,0,0,0,0,0,0,0,0,0,FALSE
2.035878656,24,44,1.8333,1.8333,12,88,3,3,9,FALSE
0.174371453,0,0,0,0,0,0,0,0,0,FALSE
0.684038436,0,0,0,0,0,0,0,0,0,FALSE
1.948873343,0,0,0,0,0,0,0,0,0,FALSE
0.407155916,0,0,0,0,0,0,0,0,0,FALSE
5.322215816,0,0,0,0,0,0,0,0,0,FALSE
0.127418512,0,0,0,0,0,0,0,0,0,FALSE
1.160887129,0,0,0,0,0,0,0,0,0,FALSE
0.992976887,0,0,0,0,0,0,0,0,0,FALSE
0.672686467,0,0,0,0,0,0,0,0,0,FALSE
1.739954647,12,17,1.4167,1.4167,7,34,2,2,7,FALSE
0.591672779,0,0,0,0,0,0,0,0,0,FALSE
0.764204507,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
1.995955646,0,0,0,0,0,0,0,0,0,FALSE
1.241946032,0,0,0,0,0,0,0,0,0,FALSE
1.504143261,0,0,0,0,0,0,0,0,0,FALSE
1.156779649,0,0,0,0,0,0,0,0,0,FALSE
1,0,0,0,0,0,0,0,0,0,FALSE
0,12,15,1.25,1.25,7,30,2,2,0,FALSE
5.802931294,0,0,0,0,0,0,0,0,25,FALSE
1.557923942,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
1.160887129,0,0,0,0,0,0,0,0,0,FALSE
1.594372224,0,0,0,0,0,0,0,0,0,FALSE
0.353359335,0,0,0,0,0,0,0,0,0,FALSE
0.579265456,27,47,1.7407,1.7407,10,94,3,3,10,FALSE
1.295836389,0,0,0,0,0,0,0,0,0,FALSE
1,0,0,0,0,0,0,0,0,0,FALSE
2.350494737,16,33,2.0625,2.0625,11,66,4,3,10,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0.095970403,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0.811278124,0,0,0,0,0,0,0,0,0,FALSE
1.263544241,0,0,0,0,0,0,0,0,0,FALSE
0.811278124,0,0,0,0,0,0,0,0,0,FALSE
1,0,0,0,0,0,0,0,0,0,FALSE
1.019365558,0,0,0,0,0,0,0,0,0,FALSE
2.426030682,29,51,1.7586,1.7586,12,102,3,2,13,FALSE
0.918295834,0,0,0,0,0,0,0,0,0,FALSE
0.918295834,0,0,0,0,0,0,0,0,0,FALSE
1.622196665,0,0,0,0,0,0,0,0,0,FALSE
5.182323308,0,0,0,0,0,0,0,0,0,FALSE
0.985228136,0,0,0,0,0,0,0,0,0,FALSE
0.543564443,0,0,0,0,0,0,0,0,0,FALSE
1.515039985,0,0,0,0,0,0,0,0,0,FALSE
1,3,3,1,1,4,6,2,1,4,FALSE
2.83224889,0,0,0,0,0,0,0,0,0,FALSE
1.415702306,0,0,0,0,0,0,0,0,0,FALSE
2.651076756,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0.076424293,0,0,0,0,0,0,0,0,0,FALSE
1.542595446,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,12,FALSE
0.816416421,0,0,0,0,0,0,0,0,0,FALSE
2.518042309,0,0,0,0,0,0,0,0,0,FALSE
0.970950594,0,0,0,0,0,0,0,0,0,FALSE
0,11,12,1.0909,1.0909,4,24,2,2,4,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
2.29248125,0,0,0,0,0,0,0,0,0,FALSE
0.985228136,18,29,1.6111,1.6111,9,58,3,3,9,FALSE
0.672294817,0,0,0,0,0,0,0,0,0,FALSE
1.5,0,0,0,0,0,0,0,0,0,FALSE
0.104982571,0,0,0,0,0,0,0,0,0,FALSE
0.286396957,0,0,0,0,0,0,0,0,0,FALSE
1.435520504,0,0,0,0,0,0,0,0,0,FALSE
1,3,3,1,1,4,6,2,1,4,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0.721928095,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
2.084798539,30,61,2.0333,2.0333,13,122,4,3,12,FALSE
7.124187444,0,0,0,0,0,0,0,0,0,FALSE
0.951994082,16,23,1.4375,1.4375,7,46,2,3,9,FALSE
0.918295834,0,0,0,0,0,0,0,0,0,FALSE
1,0,0,0,0,0,0,0,0,0,FALSE
0.778694295,0,0,0,0,0,0,0,0,0,FALSE
1.366651818,33,66,2,2,17,132,4,3,14,FALSE
1,0,0,0,0,0,0,0,0,0,FALSE
0.439496987,0,0,0,0,0,0,0,0,0,FALSE
1,0,0,0,0,0,0,0,0,0,FALSE
0,10,11,1.1,1.1,4,22,2,2,3,FALSE
2.677437632,0,0,0,0,0,0,0,0,0,FALSE
1,0,0,0,0,0,0,0,0,0,FALSE
0.951994082,16,23,1.4375,1.4375,7,46,2,3,9,FALSE
0.918295834,0,0,0,0,0,0,0,0,0,FALSE
2.777292585,0,0,0,0,0,0,0,0,0,FALSE
1.710509319,0,0,0,0,0,0,0,0,0,FALSE
1.415702306,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
1.584962501,0,0,0,0,0,0,0,0,0,FALSE
0.899743759,0,0,0,0,0,0,0,0,0,FALSE
0.998149896,0,0,0,0,0,0,0,0,0,FALSE
0.568959145,0,0,0,0,0,0,0,0,0,FALSE
0.904381458,0,0,0,0,0,0,0,0,0,FALSE
1,0,0,0,0,0,0,0,0,0,FALSE
0.684038436,0,0,0,0,0,0,0,0,0,FALSE
0.918295834,0,0,0,0,0,0,0,0,0,FALSE
1.435520504,0,0,0,0,0,0,0,0,0,FALSE
0.947581567,12,17,1.4167,1.4167,7,34,2,2,9,FALSE
2.582742315,0,0,0,0,0,0,0,0,0,FALSE
0.153516748,8,10,1.25,1.25,5,20,2,2,7,FALSE
2.170950594,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0.483730046,0,0,0,0,0,0,0,0,0,FALSE
2.243870882,0,0,0,0,0,0,0,0,7,FALSE
3.057030819,0,0,0,0,0,0,0,0,0,FALSE
0.881290899,24,36,1.5,1.5,11,72,3,2,8,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
1,0,0,0,0,0,0,0,0,0,FALSE
0.447834894,35,64,1.8286,1.8286,14,128,3,3,6,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0.978449329,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
1.995955646,0,0,0,0,0,0,0,0,0,FALSE
0.918295834,0,0,0,0,0,0,0,0,0,FALSE
2.074489407,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
1,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
1.435520504,0,0,0,0,0,0,0,0,0,FALSE
1.248268258,0,0,0,0,0,0,0,0,0,FALSE
1,0,0,0,0,0,0,0,0,0,FALSE
2.240873193,0,0,0,0,0,0,0,0,0,FALSE
2.228753211,0,0,0,0,0,0,0,0,0,FALSE
2.346757523,0,0,0,0,0,0,0,0,0,FALSE
0.836640742,8,9,1.125,1.125,4,18,2,2,4,FALSE
1.224394445,0,0,0,0,0,0,0,0,0,FALSE
1.088994011,0,0,0,0,0,0,0,0,0,FALSE
1.203586382,0,0,0,0,0,0,0,0,0,FALSE
0.811278124,0,0,0,0,0,0,0,0,0,FALSE
3.20531945,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
1,0,0,0,0,0,0,0,0,0,FALSE
2.664386548,19,39,2.0526,2.0526,13,78,4,3,13,FALSE
1,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
1.366651818,33,66,2,2,17,132,4,3,14,FALSE
2.96938942,4,4,1,1,5,8,2,1,5,FALSE
0.439496987,0,0,0,0,0,0,0,0,0,FALSE
2.266336251,29,54,1.8621,1.8621,13,108,3,3,11,FALSE
3.456339953,22,41,1.8636,1.8636,12,82,3,3,12,FALSE
0.816416421,0,0,0,0,0,0,0,0,0,FALSE
0.503258335,0,0,0,0,0,0,0,0,0,FALSE
0.650022422,17,28,1.6471,1.6471,11,56,3,3,12,FALSE
0.672294817,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0.811278124,0,0,0,0,0,0,0,0,0,FALSE
0.904381458,0,0,0,0,0,0,0,0,0,FALSE
4.072226416,0,0,0,0,0,0,0,0,0,FALSE
1.410216342,27,49,1.8148,1.8148,12,98,3,3,8,FALSE
1.240670532,0,0,0,0,0,0,0,0,0,FALSE
0.283732299,0,0,0,0,0,0,0,0,0,FALSE
0.672294817,0,0,0,0,0,0,0,0,0,FALSE
0.439496987,0,0,0,0,0,0,0,0,0,FALSE
1.291314689,15,21,1.4,1.4,10,42,2,2,9,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0.672294817,0,0,0,0,0,0,0,0,0,FALSE
