add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_num_nodes,del_num_edges,del_max_degree,contains_bug
33,55,1.6667,1.6667,16,110,3,31,53,16,TRUE
21,35,1.6667,1.6667,14,70,3,10,14,8,TRUE
42,106,2.5238,2.5238,22,212,5,39,93,20,TRUE
38,81,2.1316,2.1316,16,162,4,42,91,18,TRUE
31,59,1.9032,1.9032,11,118,3,37,81,15,TRUE
36,66,1.8333,1.8333,14,132,3,23,38,11,TRUE
35,64,1.8286,1.8286,17,128,3,35,62,15,TRUE
36,74,2.0556,2.0556,15,148,4,26,46,12,TRUE
22,31,1.4091,1.4091,11,62,2,14,19,8,TRUE
41,97,2.3659,2.3659,19,194,4,39,92,20,TRUE
24,37,1.5417,1.5417,9,74,3,6,7,4,TRUE
30,53,1.7667,1.7667,13,106,3,19,28,9,TRUE
15,19,1.2667,1.2667,8,38,2,0,0,0,TRUE
19,27,1.4211,1.4211,8,54,3,18,27,8,TRUE
29,52,1.7931,1.7931,12,104,3,10,19,9,TRUE
14,19,1.3571,1.3571,7,38,2,12,16,6,TRUE
13,20,1.5385,1.5385,7,40,3,20,33,9,TRUE
28,53,1.8929,1.8929,13,106,3,20,38,12,TRUE
46,123,2.6739,2.6739,31,246,5,46,121,31,TRUE
23,47,2.0435,2.0435,13,94,4,17,31,10,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
13,17,1.3077,1.3077,7,34,2,9,11,5,FALSE
7,9,1.2857,1.2857,5,18,2,7,9,5,FALSE
11,14,1.2727,1.2727,6,28,2,11,13,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
7,9,1.2857,1.2857,5,18,2,0,0,0,FALSE
13,17,1.3077,1.3077,7,34,2,12,16,6,FALSE
24,29,1.2083,1.2083,8,58,2,16,18,5,FALSE
28,47,1.6786,1.6786,11,94,3,9,8,4,FALSE
36,79,2.1944,2.1944,16,158,4,19,33,11,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
22,42,1.9091,1.9091,10,84,3,14,18,5,FALSE
13,16,1.2308,1.2308,6,32,2,0,0,0,FALSE
3,3,1,1,4,6,2,3,3,4,FALSE
26,46,1.7692,1.7692,14,92,3,27,43,10,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
7,9,1.2857,1.2857,5,18,2,7,9,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
21,37,1.7619,1.7619,10,74,3,19,34,9,FALSE
12,22,1.8333,1.8333,7,44,3,16,26,9,FALSE
18,24,1.3333,1.3333,9,48,2,0,0,0,FALSE
23,37,1.6087,1.6087,9,74,3,11,16,7,FALSE
7,10,1.4286,1.4286,5,20,2,7,10,5,FALSE
23,39,1.6957,1.6957,13,78,3,24,41,12,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,51,108,23,FALSE
12,14,1.1667,1.1667,5,28,2,0,0,0,FALSE
17,24,1.4118,1.4118,8,48,2,17,22,8,FALSE
10,11,1.1,1.1,4,22,2,10,11,4,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
8,8,1,1,4,16,2,8,8,4,FALSE
16,25,1.5625,1.5625,11,50,3,19,28,9,FALSE
17,21,1.2353,1.2353,7,42,2,16,23,10,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
22,42,1.9091,1.9091,10,84,3,14,18,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
11,14,1.2727,1.2727,6,28,2,11,13,5,FALSE
0,0,0,0,0,0,0,33,59,14,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
17,23,1.3529,1.3529,8,46,2,18,26,9,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
22,34,1.5455,1.5455,11,68,3,19,29,11,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
36,70,1.9444,1.9444,14,140,3,39,81,17,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
29,51,1.7586,1.7586,12,102,3,23,35,12,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
17,25,1.4706,1.4706,8,50,2,17,25,8,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
9,12,1.3333,1.3333,6,24,2,9,12,6,FALSE
33,67,2.0303,2.0303,14,134,4,31,54,12,FALSE
4,3,0.75,0.75,3,6,1,4,3,3,FALSE
0,0,0,0,0,0,0,3,3,4,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
17,23,1.3529,1.3529,8,46,2,18,26,9,FALSE
30,54,1.8,1.8,14,108,3,8,12,7,FALSE
17,23,1.3529,1.3529,8,46,2,3,3,4,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
21,32,1.5238,1.5238,9,64,3,21,33,9,FALSE
14,18,1.2857,1.2857,8,36,2,0,0,0,FALSE
24,39,1.625,1.625,11,78,3,24,39,11,FALSE
33,68,2.0606,2.0606,14,136,4,37,88,20,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
29,49,1.6897,1.6897,8,98,3,25,42,8,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
8,9,1.125,1.125,5,18,2,9,11,6,FALSE
29,49,1.6897,1.6897,11,98,3,16,23,10,FALSE
21,30,1.4286,1.4286,9,60,2,20,27,8,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
24,39,1.625,1.625,11,78,3,23,39,11,FALSE
18,24,1.3333,1.3333,8,48,2,0,0,0,FALSE
9,13,1.4444,1.4444,7,26,2,11,16,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
9,13,1.4444,1.4444,8,26,2,9,13,8,FALSE
13,19,1.4615,1.4615,8,38,2,9,13,7,FALSE
13,18,1.3846,1.3846,8,36,2,8,9,6,FALSE
7,9,1.2857,1.2857,5,18,2,3,3,4,FALSE
17,24,1.4118,1.4118,6,48,2,16,24,8,FALSE
3,3,1,1,4,6,2,3,3,4,FALSE
12,14,1.1667,1.1667,6,28,2,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
5,4,0.8,0.8,4,8,1,9,13,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
9,12,1.3333,1.3333,7,24,2,9,12,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
15,21,1.4,1.4,6,42,2,12,16,6,FALSE
9,13,1.4444,1.4444,8,26,2,9,13,8,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
7,10,1.4286,1.4286,5,20,2,7,9,5,FALSE
21,33,1.5714,1.5714,11,66,3,22,36,13,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
5,6,1.2,1.2,5,12,2,4,3,3,FALSE
19,24,1.2632,1.2632,8,48,2,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
5,6,1.2,1.2,5,12,2,4,3,3,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
9,11,1.2222,1.2222,6,22,2,8,10,5,FALSE
13,18,1.3846,1.3846,8,36,2,8,9,6,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
13,17,1.3077,1.3077,7,34,2,13,17,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
3,4,1.3333,1.3333,4,8,2,3,4,4,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
19,24,1.2632,1.2632,8,48,2,0,0,0,FALSE
15,21,1.4,1.4,6,42,2,12,16,6,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
22,31,1.4091,1.4091,9,62,2,0,0,0,FALSE
23,31,1.3478,1.3478,9,62,2,18,30,11,FALSE
17,25,1.4706,1.4706,8,50,2,7,10,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
13,18,1.3846,1.3846,6,36,2,7,9,5,FALSE
8,11,1.375,1.375,6,22,2,8,10,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
20,32,1.6,1.6,9,64,3,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
33,68,2.0606,2.0606,14,136,4,37,88,20,FALSE
29,51,1.7586,1.7586,12,102,3,23,35,12,FALSE
13,17,1.3077,1.3077,7,34,2,12,16,6,FALSE
30,54,1.8,1.8,11,108,3,27,44,10,FALSE
15,21,1.4,1.4,7,42,2,0,0,0,FALSE
37,74,2,2,19,148,4,30,52,13,FALSE
15,21,1.4,1.4,6,42,2,12,16,6,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
20,29,1.45,1.45,10,58,2,0,0,0,FALSE
15,18,1.2,1.2,9,36,2,3,3,4,FALSE
6,8,1.3333,1.3333,5,16,2,18,29,7,FALSE
27,45,1.6667,1.6667,10,90,3,28,47,10,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
29,49,1.6897,1.6897,8,98,3,25,42,8,FALSE
19,26,1.3684,1.3684,9,52,2,19,27,9,FALSE
18,29,1.6111,1.6111,8,58,3,16,24,8,FALSE
20,29,1.45,1.45,10,58,2,0,0,0,FALSE
26,48,1.8462,1.8462,13,96,3,27,49,13,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
29,48,1.6552,1.6552,11,96,3,7,9,5,FALSE
13,17,1.3077,1.3077,8,34,2,13,17,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
7,8,1.1429,1.1429,5,16,2,9,12,6,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
7,10,1.4286,1.4286,5,20,2,7,10,5,FALSE
7,9,1.2857,1.2857,5,18,2,7,9,5,FALSE
9,11,1.2222,1.2222,4,22,2,9,11,4,FALSE
13,17,1.3077,1.3077,8,34,2,13,17,7,FALSE
0,0,0,0,0,0,0,3,3,4,FALSE
13,17,1.3077,1.3077,8,34,2,13,17,7,FALSE
30,54,1.8,1.8,14,108,3,8,12,7,FALSE
28,55,1.9643,1.9643,12,110,3,6,5,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
20,29,1.45,1.45,10,58,2,0,0,0,FALSE
15,18,1.2,1.2,9,36,2,3,3,4,FALSE
27,48,1.7778,1.7778,13,96,3,27,41,13,FALSE
12,14,1.1667,1.1667,6,28,2,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,23,39,12,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
37,72,1.9459,1.9459,17,144,3,35,70,14,FALSE
7,8,1.1429,1.1429,5,16,2,8,12,6,FALSE
9,11,1.2222,1.2222,6,22,2,8,11,6,FALSE
14,20,1.4286,1.4286,10,40,2,13,19,10,FALSE
11,13,1.1818,1.1818,5,26,2,11,13,5,FALSE
10,15,1.5,1.5,7,30,3,10,15,7,FALSE
12,17,1.4167,1.4167,7,34,2,0,0,0,FALSE
17,24,1.4118,1.4118,8,48,2,17,22,8,FALSE
20,30,1.5,1.5,10,60,3,0,0,0,FALSE
21,33,1.5714,1.5714,11,66,3,22,36,13,FALSE
17,23,1.3529,1.3529,7,46,2,7,10,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
13,16,1.2308,1.2308,7,32,2,13,16,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
20,30,1.5,1.5,9,60,3,0,0,0,FALSE
27,48,1.7778,1.7778,13,96,3,27,41,13,FALSE
36,70,1.9444,1.9444,14,140,3,39,81,17,FALSE
17,24,1.4118,1.4118,8,48,2,17,22,8,FALSE
9,11,1.2222,1.2222,6,22,2,9,11,6,FALSE
22,35,1.5909,1.5909,9,70,3,22,35,9,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
9,13,1.4444,1.4444,7,26,2,9,13,7,FALSE
21,30,1.4286,1.4286,9,60,2,20,27,8,FALSE
37,74,2,2,19,148,4,30,52,13,FALSE
21,28,1.3333,1.3333,10,56,2,11,15,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
21,30,1.4286,1.4286,10,60,2,9,13,7,FALSE
20,30,1.5,1.5,10,60,3,0,0,0,FALSE
36,70,1.9444,1.9444,14,140,3,39,81,17,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
30,54,1.8,1.8,14,108,3,8,12,7,FALSE
18,27,1.5,1.5,9,54,3,16,25,9,FALSE
29,50,1.7241,1.7241,14,100,3,25,40,14,FALSE
0,0,0,0,0,0,0,35,69,16,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
4,3,0.75,0.75,3,6,1,4,3,3,FALSE
29,48,1.6552,1.6552,11,96,3,7,9,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
19,25,1.3158,1.3158,7,50,2,0,0,0,FALSE
22,42,1.9091,1.9091,10,84,3,14,18,5,FALSE
28,49,1.75,1.75,13,98,3,14,25,10,FALSE
7,9,1.2857,1.2857,5,18,2,7,9,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
18,29,1.6111,1.6111,10,58,3,16,23,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
13,17,1.3077,1.3077,7,34,2,8,11,6,FALSE
45,95,2.1111,2.1111,18,190,4,38,74,15,FALSE
8,7,0.875,0.875,4,14,2,0,0,0,FALSE
29,50,1.7241,1.7241,14,100,3,25,40,14,FALSE
12,17,1.4167,1.4167,7,34,2,13,16,7,FALSE
12,17,1.4167,1.4167,7,34,2,12,17,7,FALSE
7,10,1.4286,1.4286,5,20,2,7,10,5,FALSE
37,74,2,2,19,148,4,30,52,13,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
21,30,1.4286,1.4286,9,60,2,20,27,8,FALSE
0,0,0,0,0,0,0,3,3,4,FALSE
12,22,1.8333,1.8333,7,44,3,16,26,9,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
21,37,1.7619,1.7619,10,74,3,19,34,9,FALSE
12,14,1.1667,1.1667,6,28,2,0,0,0,FALSE
9,12,1.3333,1.3333,7,24,2,9,12,7,FALSE
7,10,1.4286,1.4286,5,20,2,7,9,5,FALSE
3,3,1,1,4,6,2,3,3,4,FALSE
14,20,1.4286,1.4286,10,40,2,13,19,10,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
18,24,1.3333,1.3333,9,48,2,0,0,0,FALSE
7,8,1.1429,1.1429,5,16,2,4,5,4,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
7,10,1.4286,1.4286,5,20,2,7,10,5,FALSE
17,27,1.5882,1.5882,8,54,3,16,25,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
23,34,1.4783,1.4783,8,68,3,11,14,6,FALSE
8,8,1,1,4,16,2,8,8,4,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
27,45,1.6667,1.6667,10,90,3,28,47,10,FALSE
29,48,1.6552,1.6552,14,96,3,12,18,8,FALSE
39,90,2.3077,2.3077,18,180,4,33,65,16,FALSE
21,37,1.7619,1.7619,10,74,3,19,34,9,FALSE
27,47,1.7407,1.7407,11,94,3,28,49,10,FALSE
24,39,1.625,1.625,12,78,3,9,11,6,FALSE
0,0,0,0,0,0,0,35,69,16,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
7,10,1.4286,1.4286,5,20,2,8,11,6,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
28,55,1.9643,1.9643,12,110,3,6,5,5,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
14,18,1.2857,1.2857,8,36,2,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
