add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_num_edges,del_sum_degree,la,contains_bug
33,65,1.9697,1.9697,19,130,4.06,35,70,89,TRUE
33,67,2.0303,2.0303,19,134,4.19,63,126,110,TRUE
24,47,1.9583,1.9583,15,94,4.09,11,22,82,TRUE
41,90,2.1951,2.1951,19,180,4.74,87,174,140,TRUE
47,121,2.5745,2.5745,36,242,5.26,117,234,600,TRUE
18,28,1.5556,1.5556,12,56,3.29,30,60,3,TRUE
28,47,1.6786,1.6786,16,94,3.48,43,86,59,TRUE
27,47,1.7407,1.7407,16,94,3.62,44,88,31,TRUE
47,111,2.3617,2.3617,27,222,4.83,93,186,871,TRUE
28,55,1.9643,1.9643,17,110,4.23,50,100,108,TRUE
38,87,2.2895,2.2895,19,174,4.7,91,182,190,TRUE
35,67,1.9143,1.9143,21,134,3.94,66,132,63,TRUE
14,23,1.6429,1.6429,12,46,3.54,23,46,2,TRUE
37,73,1.973,1.973,18,146,4.06,71,142,97,TRUE
34,83,2.4412,2.4412,20,166,5.03,87,174,99,TRUE
47,116,2.4681,2.4681,27,232,5.04,104,208,893,TRUE
47,116,2.4681,2.4681,26,232,5.04,76,152,765,TRUE
44,105,2.3864,2.3864,26,210,4.88,98,196,265,TRUE
13,19,1.4615,1.4615,9,38,3.45,11,22,179,TRUE
45,107,2.3778,2.3778,23,214,4.86,33,66,816,TRUE
16,23,1.4375,1.4375,9,46,3.07,11,22,4,TRUE
47,113,2.4043,2.4043,24,226,4.91,83,166,1050,TRUE
43,113,2.6279,2.6279,34,226,5.38,123,246,193,TRUE
39,83,2.1282,2.1282,18,166,4.37,82,164,101,TRUE
18,23,1.2778,1.2778,8,46,2.71,15,30,338,TRUE
45,127,2.8222,2.8222,32,254,5.77,116,232,1638,TRUE
43,99,2.3023,2.3023,24,198,4.83,65,130,432,TRUE
45,114,2.5333,2.5333,30,228,5.18,100,200,337,TRUE
50,157,3.14,3.14,41,314,6.41,138,276,693,TRUE
43,111,2.5814,2.5814,25,222,5.29,97,194,315,TRUE
44,94,2.1364,2.1364,18,188,4.37,26,52,1985,TRUE
30,58,1.9333,1.9333,15,116,4,57,114,23,TRUE
35,70,2,2,16,140,4.12,70,140,136,TRUE
39,89,2.2821,2.2821,18,178,4.68,86,172,319,TRUE
23,39,1.6957,1.6957,14,78,3.71,54,108,19,TRUE
38,72,1.8947,1.8947,15,144,3.89,55,110,354,TRUE
44,105,2.3864,2.3864,23,210,4.88,81,162,583,TRUE
38,78,2.0526,2.0526,18,156,4.22,72,144,72,TRUE
38,91,2.3947,2.3947,23,182,4.92,90,180,225,TRUE
31,56,1.8065,1.8065,16,112,3.73,63,126,96,TRUE
49,123,2.5102,2.5102,32,246,5.12,103,206,485,TRUE
19,29,1.5263,1.5263,13,58,3.22,29,58,215,TRUE
27,56,2.0741,2.0741,14,112,4.31,11,22,23,TRUE
29,54,1.8621,1.8621,16,108,3.86,35,70,40,TRUE
31,60,1.9355,1.9355,15,120,4.14,52,104,47,TRUE
35,75,2.1429,2.1429,17,150,4.41,61,122,65,TRUE
36,86,2.3889,2.3889,18,172,4.91,92,184,201,TRUE
32,68,2.125,2.125,14,136,4.39,58,116,129,TRUE
37,76,2.0541,2.0541,21,152,4.22,78,156,276,TRUE
26,53,2.0385,2.0385,16,106,4.24,53,106,9,TRUE
49,107,2.1837,2.1837,21,214,4.46,32,64,1571,TRUE
26,42,1.6154,1.6154,16,84,3.36,34,68,38,TRUE
36,76,2.1111,2.1111,21,152,4.34,76,152,15,TRUE
28,53,1.8929,1.8929,15,106,3.93,42,84,34,TRUE
39,96,2.4615,2.4615,21,192,5.05,90,180,191,TRUE
41,95,2.3171,2.3171,19,190,4.75,84,168,544,TRUE
28,56,2,2,14,112,4.31,50,100,68,TRUE
23,41,1.7826,1.7826,15,82,3.73,40,80,5,TRUE
44,102,2.3182,2.3182,21,204,4.74,78,156,165,TRUE
35,77,2.2,2.2,18,154,4.53,56,112,408,TRUE
33,67,2.0303,2.0303,16,134,4.19,53,106,77,TRUE
23,41,1.7826,1.7826,15,82,3.73,43,86,53,TRUE
16,26,1.625,1.625,13,52,3.47,34,68,5,TRUE
37,87,2.3514,2.3514,24,174,4.83,85,170,283,TRUE
45,114,2.5333,2.5333,21,228,5.18,67,134,487,TRUE
53,147,2.7736,2.7736,36,294,5.65,53,106,1561,TRUE
23,38,1.6522,1.6522,13,76,3.45,34,68,31,TRUE
30,61,2.0333,2.0333,16,122,4.21,55,110,115,TRUE
36,88,2.4444,2.4444,21,176,5.03,83,166,188,TRUE
26,52,2,2,15,104,4.16,49,98,23,TRUE
39,75,1.9231,1.9231,15,150,3.95,31,62,279,TRUE
28,54,1.9286,1.9286,16,108,4,44,88,63,TRUE
34,77,2.2647,2.2647,22,154,4.67,76,152,34,TRUE
46,119,2.587,2.587,33,238,5.29,77,154,732,TRUE
36,82,2.2778,2.2778,18,164,4.69,84,168,75,TRUE
30,59,1.9667,1.9667,16,118,4.07,57,114,54,TRUE
40,87,2.175,2.175,19,174,4.46,20,40,116,TRUE
32,80,2.5,2.5,21,160,5.16,50,100,526,TRUE
19,29,1.5263,1.5263,12,58,3.22,25,50,265,TRUE
34,73,2.1471,2.1471,17,146,4.42,63,126,175,TRUE
48,144,3,3,40,288,6.13,120,240,528,TRUE
34,62,1.8235,1.8235,16,124,3.76,58,116,124,TRUE
18,28,1.5556,1.5556,12,56,3.5,11,22,82,TRUE
31,61,1.9677,1.9677,16,122,4.07,59,118,24,TRUE
31,68,2.1935,2.1935,15,136,4.53,67,134,59,TRUE
30,56,1.8667,1.8667,16,112,3.86,26,52,379,TRUE
29,58,2,2,17,116,4.14,57,114,27,TRUE
14,23,1.6429,1.6429,12,46,3.54,23,46,4,TRUE
29,52,1.7931,1.7931,13,104,3.71,56,112,10,TRUE
30,58,1.9333,1.9333,16,116,4,57,114,4,TRUE
23,44,1.913,1.913,14,88,4,45,90,13,TRUE
23,41,1.7826,1.7826,15,82,3.73,32,64,23,TRUE
41,93,2.2683,2.2683,20,186,4.65,81,162,150,TRUE
34,65,1.9118,1.9118,17,130,3.94,36,72,110,TRUE
36,66,1.8333,1.8333,16,132,3.77,46,92,50,TRUE
42,81,1.9286,1.9286,17,162,3.95,25,50,1635,TRUE
44,122,2.7727,2.7727,32,244,5.67,112,224,553,TRUE
28,57,2.0357,2.0357,17,114,4.22,41,82,51,TRUE
22,39,1.7727,1.7727,13,78,3.71,34,68,36,TRUE
11,18,1.6364,1.6364,8,36,3.6,12,24,96,TRUE
41,101,2.4634,2.4634,21,202,5.05,87,174,342,TRUE
36,81,2.25,2.25,17,162,4.63,45,90,109,TRUE
15,23,1.5333,1.5333,9,46,3.29,24,48,244,TRUE
16,26,1.625,1.625,11,52,3.47,12,24,35,TRUE
35,73,2.0857,2.0857,17,146,4.29,73,146,132,TRUE
35,81,2.3143,2.3143,21,162,4.76,81,162,67,TRUE
37,78,2.1081,2.1081,20,156,4.33,69,138,110,TRUE
40,98,2.45,2.45,26,196,5.03,102,204,171,TRUE
42,109,2.5952,2.5952,23,218,5.32,90,180,296,TRUE
34,68,2,2,17,136,4.12,105,210,206,TRUE
40,87,2.175,2.175,18,174,4.46,36,72,1024,TRUE
44,118,2.6818,2.6818,28,236,5.62,113,226,379,TRUE
42,105,2.5,2.5,22,210,5.12,94,188,247,TRUE
38,95,2.5,2.5,22,190,5.14,114,228,93,TRUE
42,104,2.4762,2.4762,28,208,5.07,96,192,525,TRUE
18,29,1.6111,1.6111,14,58,3.41,29,58,4,TRUE
39,92,2.359,2.359,23,184,4.84,89,178,241,TRUE
39,82,2.1026,2.1026,18,164,4.32,76,152,72,TRUE
33,75,2.2727,2.2727,20,150,4.69,74,148,60,TRUE
22,37,1.6818,1.6818,14,74,3.52,30,60,13,TRUE
43,93,2.1628,2.1628,18,186,4.43,56,112,450,TRUE
15,26,1.7333,1.7333,12,52,3.71,32,64,1341,TRUE
37,77,2.0811,2.0811,18,154,4.28,77,154,284,TRUE
47,129,2.7447,2.7447,27,258,5.61,103,206,1010,TRUE
32,59,1.8438,1.8438,16,118,3.81,46,92,109,TRUE
28,54,1.9286,1.9286,16,108,4,40,80,127,TRUE
32,63,1.9688,1.9688,17,126,4.06,25,50,513,TRUE
34,62,1.8235,1.8235,17,124,3.88,59,118,42,TRUE
36,88,2.4444,2.4444,19,176,5.03,7,14,722,TRUE
6,7,1.1667,1.1667,5,14,2.8,7,14,591,TRUE
47,113,2.4043,2.4043,23,226,4.91,29,58,1322,TRUE
49,115,2.3469,2.3469,22,230,4.89,46,92,1537,TRUE
47,118,2.5106,2.5106,24,236,5.13,78,156,924,TRUE
32,70,2.1875,2.1875,17,140,4.52,54,108,83,TRUE
37,80,2.1622,2.1622,20,160,4.44,87,174,91,TRUE
44,106,2.4091,2.4091,27,212,4.93,80,160,1220,TRUE
18,27,1.5,1.5,14,54,3.18,26,52,9,TRUE
37,77,2.0811,2.0811,19,154,4.28,64,128,212,TRUE
32,59,1.8438,1.8438,17,118,3.81,54,108,20,TRUE
40,75,1.875,1.875,16,150,3.85,25,50,188,TRUE
29,60,2.069,2.069,16,120,4.29,55,110,39,TRUE
38,76,2,2,16,152,4.11,74,148,126,TRUE
26,48,1.8462,1.8462,13,96,4,46,92,105,TRUE
34,62,1.8235,1.8235,15,124,3.76,35,70,174,TRUE
50,126,2.52,2.52,29,252,5.14,115,230,345,TRUE
30,56,1.8667,1.8667,15,112,3.86,43,86,79,TRUE
23,39,1.6957,1.6957,12,78,3.71,38,76,8,TRUE
40,88,2.2,2.2,21,176,4.63,59,118,280,TRUE
39,93,2.3846,2.3846,23,186,4.89,86,172,421,TRUE
9,12,1.3333,1.3333,7,24,3,12,24,26,TRUE
44,98,2.2273,2.2273,20,196,4.56,25,50,548,TRUE
41,91,2.2195,2.2195,22,182,4.55,74,148,154,TRUE
25,46,1.84,1.84,15,92,3.83,70,140,30,TRUE
28,49,1.75,1.75,16,98,3.63,42,84,50,TRUE
44,106,2.4091,2.4091,24,212,4.93,62,124,251,TRUE
29,53,1.8276,1.8276,17,106,3.79,45,90,131,TRUE
39,81,2.0769,2.0769,18,162,4.26,66,132,148,TRUE
40,80,2,2,20,160,4.1,80,160,259,TRUE
24,47,1.9583,1.9583,16,94,4.09,47,94,8,TRUE
34,66,1.9412,1.9412,18,132,4,49,98,68,TRUE
24,41,1.7083,1.7083,13,82,3.57,23,46,72,TRUE
37,83,2.2432,2.2432,17,166,4.61,80,160,60,TRUE
41,110,2.6829,2.6829,27,220,5.5,94,188,225,TRUE
35,79,2.2571,2.2571,21,158,4.65,79,158,127,TRUE
35,80,2.2857,2.2857,20,160,4.71,64,128,450,TRUE
45,118,2.6222,2.6222,30,236,5.36,106,212,597,TRUE
29,54,1.8621,1.8621,16,108,3.86,34,68,38,TRUE
34,62,1.8235,1.8235,16,124,3.76,36,72,96,TRUE
29,52,1.7931,1.7931,16,104,3.85,39,78,31,TRUE
34,62,1.8235,1.8235,17,124,3.88,46,92,65,TRUE
38,89,2.3421,2.3421,21,178,4.81,83,166,342,TRUE
34,67,1.9706,1.9706,17,134,4.06,51,102,165,TRUE
38,81,2.1316,2.1316,16,162,4.38,79,158,55,TRUE
40,97,2.425,2.425,27,194,4.97,87,174,168,TRUE
36,76,2.1111,2.1111,17,152,4.34,53,106,248,TRUE
15,23,1.5333,1.5333,12,46,3.29,23,46,25,TRUE
18,31,1.7222,1.7222,14,62,3.65,31,62,3,TRUE
38,92,2.4211,2.4211,20,184,4.97,90,180,86,TRUE
31,63,2.0323,2.0323,15,126,4.2,50,100,119,TRUE
36,80,2.2222,2.2222,19,160,4.57,60,120,569,FALSE
17,30,1.7647,1.7647,12,60,3.75,30,60,5,FALSE
20,36,1.8,1.8,12,72,3.79,36,72,5,FALSE
27,55,2.037,2.037,15,110,4.23,55,110,5,FALSE
30,59,1.9667,1.9667,16,118,4.07,36,72,75,FALSE
13,21,1.6154,1.6154,8,42,3.5,21,42,1,FALSE
10,12,1.2,1.2,6,24,2.67,12,24,5,FALSE
18,31,1.7222,1.7222,11,62,3.65,31,62,5,FALSE
22,37,1.6818,1.6818,11,74,3.52,37,74,2,FALSE
20,33,1.65,1.65,11,66,3.47,45,90,1,FALSE
26,49,1.8846,1.8846,14,98,3.92,53,106,109,FALSE
21,31,1.4762,1.4762,13,62,3.1,31,62,7,FALSE
23,39,1.6957,1.6957,14,78,3.55,15,30,144,FALSE
19,31,1.6316,1.6316,15,62,3.44,31,62,4,FALSE
26,46,1.7692,1.7692,15,92,3.68,43,86,70,FALSE
32,63,1.9688,1.9688,15,126,4.06,64,128,15,FALSE
13,22,1.6923,1.6923,9,44,3.67,22,44,57,FALSE
34,77,2.2647,2.2647,17,154,4.67,77,154,212,FALSE
11,18,1.6364,1.6364,8,36,3.6,18,36,3,FALSE
19,27,1.4211,1.4211,10,54,3,11,22,2,FALSE
14,22,1.5714,1.5714,12,44,3.38,24,48,0,FALSE
14,24,1.7143,1.7143,10,48,3.69,24,48,2,FALSE
19,29,1.5263,1.5263,11,58,3.22,31,62,4,FALSE
13,21,1.6154,1.6154,9,42,3.5,17,34,21,FALSE
18,26,1.4444,1.4444,11,52,3.06,26,52,1,FALSE
24,46,1.9167,1.9167,15,92,4,38,76,90,FALSE
17,26,1.5294,1.5294,10,52,3.25,26,52,1,FALSE
17,30,1.7647,1.7647,12,60,3.75,28,56,88,FALSE
18,28,1.5556,1.5556,13,56,3.29,28,56,2,FALSE
11,17,1.5455,1.5455,8,34,3.4,17,34,0,FALSE
10,16,1.6,1.6,8,32,3.56,16,32,100,FALSE
21,34,1.619,1.619,14,68,3.4,34,68,6,FALSE
19,31,1.6316,1.6316,13,62,3.44,19,38,136,FALSE
28,53,1.8929,1.8929,14,106,3.93,26,52,71,FALSE
16,27,1.6875,1.6875,12,54,3.6,26,52,465,FALSE
14,21,1.5,1.5,10,42,3.23,21,42,0,FALSE
10,16,1.6,1.6,8,32,3.56,16,32,20,FALSE
14,21,1.5,1.5,11,42,3.5,21,42,1,FALSE
20,41,2.05,2.05,14,82,4.32,25,50,77,FALSE
26,44,1.6923,1.6923,15,88,3.52,28,56,46,FALSE
19,38,2,2,14,76,4.22,38,76,33,FALSE
20,33,1.65,1.65,12,66,3.47,33,66,3,FALSE
11,17,1.5455,1.5455,8,34,3.4,17,34,1,FALSE
18,30,1.6667,1.6667,10,60,3.53,33,66,4,FALSE
34,77,2.2647,2.2647,17,154,4.67,77,154,212,FALSE
24,40,1.6667,1.6667,14,80,3.48,35,70,173,FALSE
13,20,1.5385,1.5385,9,40,3.64,20,40,2,FALSE
10,12,1.2,1.2,6,24,2.67,12,24,5,FALSE
11,18,1.6364,1.6364,8,36,3.6,18,36,1,FALSE
52,122,2.3462,2.3462,24,244,4.88,23,46,1997,FALSE
43,113,2.6279,2.6279,28,226,5.38,105,210,213,FALSE
16,26,1.625,1.625,12,52,3.47,26,52,17,FALSE
40,82,2.05,2.05,17,164,4.21,17,34,474,FALSE
12,20,1.6667,1.6667,10,40,3.64,20,40,9,FALSE
16,24,1.5,1.5,9,48,3.2,16,32,75,FALSE
11,18,1.6364,1.6364,8,36,3.6,18,36,100,FALSE
22,35,1.5909,1.5909,15,70,3.33,33,66,5,FALSE
30,55,1.8333,1.8333,16,110,3.79,32,64,50,FALSE
26,49,1.8846,1.8846,17,98,3.92,47,94,17,FALSE
34,66,1.9412,1.9412,16,132,4,34,68,102,FALSE
12,20,1.6667,1.6667,9,40,3.64,20,40,11,FALSE
14,23,1.6429,1.6429,11,46,3.54,18,36,21,FALSE
15,27,1.8,1.8,12,54,3.86,21,42,379,FALSE
17,34,2,2,12,68,4.25,29,58,76,FALSE
42,101,2.4048,2.4048,23,202,4.93,99,198,150,FALSE
24,48,2,2,17,96,4.17,30,60,176,FALSE
14,22,1.5714,1.5714,12,44,3.38,22,44,1,FALSE
43,113,2.6279,2.6279,28,226,5.38,105,210,213,FALSE
22,41,1.8636,1.8636,14,82,3.9,41,82,6,FALSE
22,41,1.8636,1.8636,16,82,3.9,40,80,1,FALSE
35,65,1.8571,1.8571,17,130,3.82,65,130,18,FALSE
18,30,1.6667,1.6667,14,60,3.53,30,60,3,FALSE
10,13,1.3,1.3,8,26,2.89,13,26,4,FALSE
19,31,1.6316,1.6316,13,62,3.44,31,62,1,FALSE
18,31,1.7222,1.7222,14,62,3.65,32,64,3,FALSE
11,17,1.5455,1.5455,8,34,3.4,17,34,1,FALSE
24,41,1.7083,1.7083,15,82,3.57,40,80,11,FALSE
17,28,1.6471,1.6471,12,56,3.5,28,56,6,FALSE
30,57,1.9,1.9,14,114,3.93,57,114,52,FALSE
30,70,2.3333,2.3333,16,140,4.83,66,132,503,FALSE
20,36,1.8,1.8,12,72,3.79,36,72,5,FALSE
29,58,2,2,16,116,4.14,57,114,20,FALSE
39,89,2.2821,2.2821,20,178,4.81,52,104,289,FALSE
19,36,1.8947,1.8947,12,72,4.24,42,84,590,FALSE
31,59,1.9032,1.9032,17,118,3.93,49,98,60,FALSE
11,17,1.5455,1.5455,8,34,3.4,17,34,1,FALSE
38,92,2.4211,2.4211,20,184,4.97,84,168,509,FALSE
18,28,1.5556,1.5556,13,56,3.29,31,62,7,FALSE
35,73,2.0857,2.0857,15,146,4.29,76,152,70,FALSE
18,32,1.7778,1.7778,12,64,3.76,32,64,11,FALSE
17,29,1.7059,1.7059,10,58,3.62,31,62,64,FALSE
11,17,1.5455,1.5455,8,34,3.4,17,34,13,FALSE
26,44,1.6923,1.6923,13,88,3.52,37,74,63,FALSE
22,39,1.7727,1.7727,14,78,3.71,30,60,25,FALSE
22,34,1.5455,1.5455,14,68,3.4,36,72,17,FALSE
12,19,1.5833,1.5833,9,38,3.45,11,22,41,FALSE
16,23,1.4375,1.4375,9,46,3.07,15,30,61,FALSE
24,43,1.7917,1.7917,15,86,3.91,24,48,10,FALSE
11,17,1.5455,1.5455,8,34,3.4,12,24,17,FALSE
28,49,1.75,1.75,17,98,3.63,49,98,43,FALSE
14,22,1.5714,1.5714,12,44,3.38,24,48,0,FALSE
17,25,1.4706,1.4706,10,50,3.12,30,60,1,FALSE
16,24,1.5,1.5,12,48,3.43,17,34,58,FALSE
12,20,1.6667,1.6667,9,40,3.64,20,40,58,FALSE
25,45,1.8,1.8,14,90,3.75,29,58,20,FALSE
17,26,1.5294,1.5294,10,52,3.25,26,52,2,FALSE
20,34,1.7,1.7,14,68,3.58,34,68,78,FALSE
12,20,1.6667,1.6667,10,40,3.64,20,40,111,FALSE
25,37,1.48,1.48,13,74,3.08,39,78,13,FALSE
18,31,1.7222,1.7222,12,62,3.65,31,62,4,FALSE
17,29,1.7059,1.7059,13,58,3.62,28,56,17,FALSE
13,21,1.6154,1.6154,9,42,3.5,17,34,113,FALSE
29,51,1.7586,1.7586,15,102,3.64,30,60,57,FALSE
17,25,1.4706,1.4706,10,50,3.12,25,50,1,FALSE
21,35,1.6667,1.6667,12,70,3.5,31,62,9,FALSE
12,19,1.5833,1.5833,9,38,3.45,11,22,41,FALSE
14,22,1.5714,1.5714,9,44,3.38,19,38,250,FALSE
17,25,1.4706,1.4706,10,50,3.12,41,82,15,FALSE
11,17,1.5455,1.5455,8,34,3.4,17,34,2,FALSE
25,43,1.72,1.72,15,86,3.58,43,86,7,FALSE
15,24,1.6,1.6,13,48,3.43,24,48,2,FALSE
21,33,1.5714,1.5714,10,66,3.3,24,48,229,FALSE
36,83,2.3056,2.3056,20,166,4.74,71,142,50,FALSE
20,33,1.65,1.65,15,66,3.47,33,66,5,FALSE
31,64,2.0645,2.0645,17,128,4.27,63,126,42,FALSE
33,60,1.8182,1.8182,17,120,3.75,46,92,56,FALSE
24,39,1.625,1.625,14,78,3.39,38,76,9,FALSE
28,55,1.9643,1.9643,14,110,4.07,58,116,22,FALSE
17,30,1.7647,1.7647,12,60,3.75,25,50,64,FALSE
11,17,1.5455,1.5455,8,34,3.4,17,34,24,FALSE
23,40,1.7391,1.7391,18,80,3.64,40,80,4,FALSE
39,89,2.2821,2.2821,20,178,4.81,52,104,289,FALSE
9,12,1.3333,1.3333,7,24,3,12,24,23,FALSE
13,21,1.6154,1.6154,8,42,3.5,21,42,1,FALSE
19,30,1.5789,1.5789,12,60,3.33,37,74,22,FALSE
21,33,1.5714,1.5714,10,66,3.3,24,48,229,FALSE
19,31,1.6316,1.6316,14,62,3.44,32,64,5,FALSE
23,43,1.8696,1.8696,16,86,3.91,42,84,7,FALSE
17,27,1.5882,1.5882,12,54,3.38,27,54,1,FALSE
24,43,1.7917,1.7917,15,86,3.91,24,48,10,FALSE
24,38,1.5833,1.5833,13,76,3.3,38,76,2,FALSE
17,26,1.5294,1.5294,10,52,3.25,26,52,7,FALSE
23,38,1.6522,1.6522,12,76,3.45,24,48,21,FALSE
16,21,1.3125,1.3125,11,42,3.23,21,42,1,FALSE
11,18,1.6364,1.6364,9,36,3.6,18,36,1,FALSE
17,25,1.4706,1.4706,10,50,3.12,25,50,4,FALSE
29,55,1.8966,1.8966,15,110,3.93,53,106,23,FALSE
19,30,1.5789,1.5789,12,60,3.33,13,26,32,FALSE
18,30,1.6667,1.6667,12,60,3.53,30,60,6,FALSE
24,40,1.6667,1.6667,14,80,3.48,35,70,173,FALSE
36,83,2.3056,2.3056,20,166,4.74,71,142,50,FALSE
21,35,1.6667,1.6667,12,70,3.5,31,62,9,FALSE
15,23,1.5333,1.5333,10,46,3.29,23,46,70,FALSE
18,28,1.5556,1.5556,12,56,3.29,28,56,46,FALSE
12,20,1.6667,1.6667,9,40,3.64,20,40,18,FALSE
11,17,1.5455,1.5455,8,34,3.4,17,34,0,FALSE
20,30,1.5,1.5,10,60,3.16,30,60,10,FALSE
19,32,1.6842,1.6842,14,64,3.56,30,60,7,FALSE
14,21,1.5,1.5,11,42,3.5,21,42,3,FALSE
16,28,1.75,1.75,12,56,3.73,24,48,3,FALSE
11,17,1.5455,1.5455,8,34,3.4,17,34,2,FALSE
12,20,1.6667,1.6667,9,40,3.64,20,40,11,FALSE
14,21,1.5,1.5,10,42,3.23,21,42,0,FALSE
16,26,1.625,1.625,10,52,3.47,21,42,6,FALSE
20,33,1.65,1.65,15,66,3.47,33,66,5,FALSE
11,17,1.5455,1.5455,8,34,3.4,17,34,3,FALSE
14,22,1.5714,1.5714,9,44,3.38,19,38,250,FALSE
24,41,1.7083,1.7083,13,82,3.57,34,68,10,FALSE
24,41,1.7083,1.7083,15,82,3.57,40,80,11,FALSE
30,55,1.8333,1.8333,16,110,3.79,32,64,50,FALSE
21,31,1.4762,1.4762,13,62,3.1,31,62,7,FALSE
24,41,1.7083,1.7083,15,82,3.57,39,78,14,FALSE
20,33,1.65,1.65,13,66,3.47,33,66,75,FALSE
12,18,1.5,1.5,9,36,3.27,18,36,31,FALSE
12,18,1.5,1.5,7,36,3.27,12,24,40,FALSE
21,35,1.6667,1.6667,12,70,3.5,31,62,9,FALSE
20,41,2.05,2.05,14,82,4.32,25,50,77,FALSE
17,25,1.4706,1.4706,10,50,3.12,17,34,1,FALSE
21,36,1.7143,1.7143,14,72,3.6,36,72,8,FALSE
