ns,ent,nrev,tcmt,rexp,oexp,rrexp,orexp,osexp,NAME OP NL,contains_bug
1,0.764204507,3,13,2050,2171,1827,1948,2010,0,1
1,0.721497377,2,14,2218,3297,2101,2987,2632,11,1
1,0.969605599,1,7,660,1120,642,1043,412,3,1
1,0.391243564,1,10,541,544,538,541,421,0,1
1,0.807981794,10,63,676,679,676,679,612,19,1
1,0,2,20,516,519,476,479,288,1,1
1,0.997772472,6,33,593,593,542,542,556,1,1
3,0.671223353,8,41,207,207,200,200,197,0,1
1,0.940285959,2,14,383,383,372,372,329,0,1
1,0.976020648,6,33,973,973,935,935,647,5,1
1,0.322756959,1,12,849,857,724,732,165,0,1
1,0.814445832,5,20,1435,1439,1196,1200,1245,6,1
1,0,1,6,1686,2375,1409,2084,2130,0,1
1,0,1,8,2039,2041,1779,1781,1898,0,1
1,0.970950594,2,17,1672,2944,1639,2667,2545,4,1
1,0.566509507,3,27,714,763,703,752,686,3,1
1,0,8,38,650,651,648,649,604,0,1
1,0,1,8,970,979,970,978,715,1,1
1,0.886527405,2,15,455,458,441,444,412,5,1
1,0.900818321,6,50,2120,2122,1833,1835,1900,1,1
1,0.570387306,8,34,442,469,393,420,318,0,1
1,0.106694446,4,17,983,1026,950,993,990,53,1
1,0,5,25,919,919,917,917,781,3,1
1,0.685312131,1,7,356,364,340,348,259,0,1
1,0.962900415,1,5,1056,1078,1023,1045,1035,6,1
1,0.821408528,6,44,662,662,649,649,554,24,1
1,0.890142662,8,71,367,372,364,369,4,0,1
1,0.510787823,10,37,1934,2610,1900,2543,1850,17,1
1,0.899393971,1,9,2136,2323,2024,2211,1938,20,1
2,0.56297055,5,21,267,314,221,262,304,13,1
1,0.700102353,1,14,831,864,828,849,743,6,1
1,0.960229718,1,5,595,930,577,912,827,0,1
1,0.629249224,5,26,672,673,667,668,461,2,1
1,0.938932011,3,11,822,826,805,809,743,6,1
1,0.367211089,52,299,1430,1432,1157,1159,1238,0,1
1,0.676812344,3,12,1217,1260,1176,1219,1169,16,1
1,0,2,17,1487,2094,1411,1988,1946,4,1
1,0.870069658,3,15,490,494,473,477,446,5,1
1,0,1,11,1779,2400,1583,2174,2262,1,1
1,0.554778163,3,13,2209,2242,2126,2158,1872,0,1
1,0.766269828,1,11,1839,1873,1765,1799,1750,7,1
1,0.708835673,1,9,2134,3237,1962,2827,2907,7,1
1,0.976020648,4,18,787,820,718,746,758,17,1
1,0.779328016,44,185,2240,2915,1931,2603,2025,122,1
1,0.958986119,2,16,591,591,584,584,464,6,1
1,0,1,7,1283,1580,1240,1502,1416,0,1
1,0.938932011,5,26,1402,1458,1358,1414,1298,9,1
1,0.984343203,5,32,2816,3867,2496,3320,3102,1,1
1,0.975566907,3,20,1407,1460,1362,1415,1354,29,1
1,0.898653376,4,14,3696,3696,3148,3148,3121,0,1
1,0.380946586,2,9,419,433,416,430,399,4,1
1,0.850770704,5,29,234,617,234,609,491,0,1
1,0.824692452,8,51,1104,1104,1057,1057,1025,24,1
1,0.453716339,2,12,2549,2549,2223,2223,2197,0,1
1,0.858089939,11,46,1567,1569,1249,1251,1364,14,1
1,0.939453207,3,30,599,599,539,539,369,4,1
1,0,2,11,617,624,607,614,494,6,1
1,0.773829724,5,30,2129,2328,1676,1816,2072,34,1
1,0.681790988,4,20,611,753,605,747,620,81,1
1,0,6,34,1864,1878,1539,1553,1622,10,1
1,0.605186577,1,5,933,1029,926,1007,859,2,1
2,0.797151026,6,34,1889,1929,1562,1592,1711,1,1
1,0.876439211,10,43,667,668,645,646,501,2,1
1,0.888646292,4,17,646,646,640,640,8,6,1
1,0.474345438,3,18,2080,2080,1749,1749,1804,0,1
1,0.901170196,5,26,1743,1743,1451,1451,1531,7,1
1,0.15374218,9,59,548,548,498,498,484,8,1
1,0.54771564,1,6,1873,1944,1526,1597,1713,0,1
1,0.976852747,1,10,199,226,199,226,208,77,1
1,0.682628218,16,50,936,1328,763,1155,1279,16,1
1,0.881131021,2,12,513,530,456,469,367,23,1
1,0.796991241,10,60,996,1132,967,1102,921,2,1
1,0.880486256,13,90,3347,3347,2961,2961,2351,5,1
1,0.879737097,1,8,536,660,476,561,412,5,1
1,0.83885561,18,86,534,534,512,512,478,17,1
1,0.916746817,2,7,989,1098,976,1081,890,1,1
1,0.993149786,24,89,1695,1701,1390,1396,1495,14,1
1,0.844758835,4,29,213,694,213,676,563,12,1
1,0.894451885,1,6,662,2370,655,2026,528,2,1
1,0,1,7,1004,1040,988,1012,820,2,1
1,0.712064055,1,5,971,1015,951,995,867,2,1
2,0.826078068,1,4,681,694,663,676,578,6,1
1,0.506547668,13,71,463,519,456,507,500,12,1
1,0.972494961,19,146,3910,3910,3489,3489,2969,1,1
4,0.996476182,12,55,1946,1949,1696,1699,1748,0,1
1,0.73206669,4,23,1926,1947,1851,1872,1128,4,1
1,0.809074496,9,60,2351,2357,2211,2217,1558,3,1
1,0.496437146,12,64,1676,1677,1349,1350,1472,18,1
1,0.619382195,3,15,1663,2231,1345,1769,2007,6,1
1,0.895009391,2,8,693,708,673,688,568,0,1
1,0.681655912,4,20,1259,1277,1213,1229,918,2,1
1,0,1,9,164,343,160,290,216,0,1
1,0.281022513,7,36,1602,1649,1475,1522,1515,2,1
1,0,1,6,738,752,716,730,614,1,1
1,0.485460761,2,10,1926,1928,1544,1546,1806,2,1
1,0.811278124,2,13,1948,1956,1604,1612,1715,2,1
1,0,3,18,1502,1901,1319,1638,1545,0,1
1,0,4,21,226,226,225,225,198,10,1
1,0.391243564,5,23,709,709,689,689,580,8,1
1,0.823727234,17,72,1605,1777,1519,1691,1673,1,1
1,0.941934877,5,33,2811,2811,2409,2409,1857,12,1
1,0.822856908,2,10,489,489,450,450,447,7,1
1,0.746234301,3,15,570,785,543,745,702,10,1
1,0.629307989,1,5,711,730,691,710,586,0,1
1,0.997574452,2,18,804,1485,710,1222,1407,37,1
1,0.706274089,4,27,503,1130,448,1055,591,1,1
1,0.191037781,1,8,1188,1194,1178,1184,1135,3,1
1,0.897065167,16,63,1281,1281,1096,1096,1238,39,1
1,0,2,15,942,942,902,902,773,0,1
1,0.787126586,4,22,514,514,493,493,384,2,1
1,0.581671866,8,38,290,303,284,297,293,0,1
1,0.134029796,2,8,640,658,633,651,27,17,1
1,0.554127827,20,85,774,776,751,753,622,71,1
1,0.895014515,5,27,971,978,883,890,925,0,1
1,0.933823806,6,24,1917,2344,1704,2130,1555,12,1
1,0.954434003,2,11,735,735,713,713,601,7,1
1,0.996791632,15,52,1689,1874,1596,1781,1765,4,1
1,0.721928095,1,10,562,689,485,571,439,0,1
1,0,1,6,740,740,716,716,606,0,1
1,0,1,9,317,317,317,317,286,13,1
1,0.998363673,6,42,1691,1703,1592,1604,1609,1,1
1,0.46178868,4,20,649,650,642,643,33,0,1
1,0.588831788,5,17,1226,1239,1174,1187,1191,1,1
1,0,4,25,600,622,571,593,37,0,1
1,0.849501875,2,12,685,687,662,664,43,37,1
1,0.997759381,13,55,2483,2483,2334,2334,2347,42,1
1,0.639457132,9,56,2675,2857,2501,2683,1836,7,1
1,0.967294779,7,28,243,250,243,250,231,2,1
1,0.995318158,6,42,257,359,253,355,327,74,1
1,0.903932456,4,19,312,312,312,312,286,1,1
1,0.908383151,7,37,1580,1599,1510,1529,1493,0,1
1,0.913990101,6,29,788,808,763,783,635,2,1
1,0.638872862,3,25,718,719,693,694,666,8,1
1,0.404506222,42,275,2624,2626,2142,2144,2251,32,1
1,0.727932981,4,19,1141,1145,1103,1107,59,0,1
1,0.860195466,2,9,965,991,957,982,957,1,1
1,0.765096217,10,79,1141,1141,1075,1075,64,5,1
1,0.889595191,5,26,797,797,772,772,660,3,1
1,0.951585713,4,15,258,262,257,261,237,1,1
1,0,1,8,579,813,540,752,38,0,1
1,0.804602701,17,62,1558,2872,1442,2434,2593,20,1
1,0.96015323,2,11,1627,1940,1519,1830,1830,1,1
1,0,2,12,558,1103,503,1046,1061,0,1
1,0.954434003,1,6,766,769,740,743,634,0,1
1,0.974489403,4,16,765,768,740,743,635,2,1
1,0,1,9,1858,1870,1747,1759,1760,1,1
1,0.779349837,5,25,992,1350,928,1274,80,5,1
1,0,1,11,336,432,330,426,334,0,1
1,0.967294779,2,13,1716,1739,1574,1597,935,0,1
1,0.989579159,1,6,790,823,763,796,689,2,1
1,0,1,7,246,281,245,279,249,0,1
1,0.706274089,1,7,817,822,786,790,684,5,1
1,0.93526914,6,64,1532,1533,1453,1454,1466,6,1
1,0.987137774,3,19,1785,1883,1441,1539,1594,3,1
1,0.972966127,10,69,2866,2925,2580,2635,2021,5,1
1,0.319001527,4,18,345,558,339,552,541,1,1
1,0.985228136,2,11,347,443,341,437,345,0,1
1,0,1,5,322,322,290,290,281,0,1
1,0,3,18,808,831,775,798,678,22,1
1,0.86204857,10,52,2767,3165,2474,2869,2329,3,1
1,0.706015533,6,32,372,372,370,370,351,1,1
1,0.976020648,12,56,2773,3171,2480,2875,2335,2,1
1,0.72508325,12,55,1890,2311,1636,2055,2230,0,1
1,0.345117315,3,13,1104,1472,1062,1404,103,0,1
1,0.954434003,3,19,229,329,229,329,238,1,1
1,0.745087416,8,49,1452,1555,1383,1486,1495,5,1
1,0.655350407,11,52,3933,3970,3415,3452,2985,4,1
1,0.951376404,4,23,688,735,650,684,56,0,1
1,0.942676284,11,72,2057,2057,1637,1637,1931,6,1
1,0.918295834,1,6,317,403,260,346,250,1,1
1,0.607012177,3,36,2099,2101,1661,1663,1866,4,1
1,0,2,16,596,596,574,574,97,0,1
1,0,3,19,417,444,414,441,393,5,1
1,0,4,23,1603,1629,1291,1317,1380,0,1
1,0.193642805,5,19,639,669,602,632,71,0,1
1,0.809643605,2,15,1264,1281,872,887,722,3,1
1,0.887417927,2,7,628,630,619,621,54,5,1
1,0.999777967,2,18,2334,2375,1964,2005,2152,10,1
1,0.868603127,30,99,820,851,810,841,817,20,1
1,0,2,25,1620,1675,1391,1446,1451,1,1
1,0.999974942,12,57,2444,2555,2257,2368,1696,0,1
1,0.999525689,12,63,292,384,258,350,287,0,1
1,0.416263863,7,34,833,837,794,798,699,1,1
1,0.864546662,20,164,1475,1478,1333,1336,1387,19,1
1,0.899365643,5,26,391,527,388,522,439,2,1
1,0,1,9,3271,3285,3015,3029,2394,1,1
1,0.613069395,24,112,873,882,725,733,795,19,1
1,0.648255954,30,116,2000,2009,1539,1547,1852,0,1
1,0.908565625,31,128,2376,2376,1849,1849,2185,12,1
1,0.782773566,29,104,2002,2011,1541,1549,1854,3,1
1,0.742780661,37,155,1935,1940,1705,1709,1811,16,1
1,0.712387587,3,15,1698,1710,1553,1565,1535,1,1
2,0.91350715,15,79,224,224,194,194,222,47,1
1,0.750072106,29,124,1939,1939,1705,1705,1810,2,1
1,0,1,5,1081,1108,1018,1045,36,0,1
1,0.529738534,17,77,1851,2438,1697,2094,2315,0,1
1,0.934547048,1,6,390,435,387,432,408,0,1
1,0,4,20,348,363,288,303,219,0,1
1,0.578794625,2,13,236,241,235,240,204,3,1
1,0.88081672,8,44,1494,1590,1362,1458,1398,6,1
1,0,2,14,306,309,304,307,275,0,1
1,0.787689149,5,21,1310,1324,1256,1270,133,7,1
1,0.92146324,3,19,2139,2449,1789,2093,2326,0,1
1,0.76832416,12,64,2718,2719,2099,2100,2435,19,1
1,0.707517579,6,53,359,361,357,358,335,3,1
1,0.670186609,10,47,232,234,230,231,223,0,1
1,0.685581604,30,121,900,900,748,748,812,0,1
1,0.514091279,2,9,402,403,397,398,381,15,1
1,0.954609161,3,20,464,501,458,495,466,0,1
1,0.522559375,1,6,480,487,480,486,470,3,1
1,0.872541616,3,12,3137,3366,2373,2601,2839,12,1
1,0,2,10,910,940,778,808,882,7,1
1,0.685670369,6,40,2825,3664,2563,3349,2743,18,1
1,0.935940715,2,10,863,865,811,813,733,0,1
1,0.979868757,12,71,822,843,771,792,710,11,1
1,0,5,41,926,934,874,882,786,0,1
1,0.705487434,7,48,1658,1691,1476,1509,1585,0,1
1,0.650022422,4,30,3073,3185,2542,2654,2821,1,1
1,0.961786192,6,34,3054,3057,2521,2524,2777,5,1
1,0.721928095,2,17,2145,2146,1771,1772,1927,0,1
1,0.987735943,5,34,1864,1987,1678,1801,1798,7,1
1,0.645685407,36,278,974,975,965,966,954,0,1
1,0,3,20,945,949,888,892,792,4,1
2,0.729089404,2,14,478,526,462,510,483,5,1
1,0.979868757,2,10,881,881,820,820,175,0,1
1,0,1,10,925,1198,791,1064,1124,0,1
1,0,3,13,423,444,407,428,398,1,1
1,0.72508325,2,14,371,956,362,896,815,1,1
1,0.979868757,9,45,948,958,886,896,813,2,1
1,0.599765715,17,79,239,321,226,308,282,56,1
1,0.156491063,5,35,2247,2468,1817,2038,2228,0,1
1,0.69136983,5,31,2485,2485,2078,2078,2224,0,1
1,0.779349837,3,19,594,871,588,862,585,3,1
1,0.935893281,4,26,528,530,528,530,515,0,1
1,0.839090048,21,96,576,640,475,533,485,0,1
1,0.830376511,3,9,891,923,826,858,785,15,1
1,0.824728866,5,15,911,964,843,895,197,3,1
1,0,3,18,896,934,826,864,204,1,1
1,0.588055552,1,9,954,1060,923,1003,205,7,1
1,0.84858466,11,66,815,815,788,788,193,297,1
1,0.621821403,9,60,2221,3183,1733,2623,2189,1,1
1,0.806108944,15,77,110,116,109,115,99,8,1
1,0.852908608,11,59,1838,1845,1634,1641,1031,9,1
1,0.829443207,12,61,878,888,747,757,840,19,1
1,0.73206669,3,19,760,760,715,715,203,0,1
1,0.721928095,1,6,2504,2927,2214,2584,2761,0,1
1,0.950956048,5,48,986,988,818,820,938,1,1
1,0.874882017,5,26,879,885,810,815,747,11,1
1,1,1,8,3029,3062,2354,2387,2735,1,1
1,0.877087812,7,50,298,299,295,296,287,10,1
1,0.991159471,1,6,916,948,847,879,809,1,1
1,0.665578806,11,49,779,785,729,735,208,7,1
1,0.51441768,1,11,445,1501,409,1201,1286,4,1
1,0,1,8,770,933,732,890,228,0,1
1,0,1,6,920,922,845,847,227,0,1
1,0.917294841,4,33,533,760,517,715,493,0,1
1,0.672294817,2,11,2601,2603,2312,2314,1732,0,1
1,0.967209325,2,13,2372,3524,2153,3149,2622,6,1
1,1,2,21,273,293,273,293,215,0,1
1,0.678978955,9,44,593,657,483,541,501,36,1
1,0.621034595,8,31,478,483,462,467,447,14,1
1,0.813449454,39,200,395,395,392,392,376,2,1
1,0.905116786,25,154,603,627,484,502,469,226,1
1,0.976020648,19,67,1977,2002,1703,1728,1913,12,1
1,0.560660494,5,36,3011,3063,2748,2794,2197,1,1
1,0,2,12,949,949,873,873,809,4,1
1,0.921493114,31,112,1347,1347,1261,1261,862,3,1
1,0.848986666,6,37,438,673,423,630,424,2,1
1,0.958411422,2,12,2268,2310,2055,2097,2165,0,1
1,0.350563821,12,79,1611,1672,1466,1519,1612,1,1
1,0,2,13,2715,2807,2294,2386,1796,5,1
1,0.638333429,14,54,1024,1025,949,950,884,1,1
1,0.926077298,11,67,1775,1996,1434,1634,1574,0,1
1,0.588947596,5,31,1038,1084,963,1009,894,36,1
1,0.609840305,3,21,914,925,779,790,876,1,1
1,0.503258335,3,24,2306,2428,2127,2225,1323,0,1
1,0.885141731,6,65,2090,2115,1875,1900,1279,3,1
1,0,4,21,1280,1304,1173,1197,1209,0,1
1,0.985868122,1,7,798,860,722,771,161,6,1
1,0.724606886,6,59,1126,1134,1040,1045,897,10,1
1,0.995246747,4,30,2077,2078,1810,1811,1935,1,1
1,0.846476057,9,42,2037,2272,1642,1855,1885,4,1
1,0.640944185,8,42,2077,2196,1838,1952,1339,13,1
1,0.923312385,6,49,652,691,531,570,507,9,1
1,0.216396932,6,38,3458,3551,2876,2969,2515,3,1
1,0,6,44,1849,1952,1653,1756,1768,2,1
1,0.541067622,5,20,503,1084,486,993,933,0,1
1,1,1,7,593,649,579,635,604,1,1
1,0.817122248,2,13,508,748,491,702,480,0,1
1,0.557909973,11,82,1246,1249,1121,1124,278,6,1
1,0.976210142,12,77,1220,1223,1097,1100,273,1,1
1,0.539216343,3,29,2220,2792,2024,2525,1503,6,1
1,0.892121281,4,22,509,570,506,566,529,7,1
1,0.591672779,2,8,916,916,825,825,784,3,1
1,0,1,10,703,1009,670,913,187,2,1
1,0.74061057,4,30,940,1200,897,1145,287,4,1
1,0,11,48,3003,3013,2462,2472,2747,2,1
1,0.942683189,2,11,756,1015,711,905,275,24,1
1,0.847003599,11,68,292,318,222,245,185,126,1
1,0.566509507,1,11,2915,2919,2603,2607,2019,1,1
1,0.664180026,11,61,696,717,525,541,477,19,1
1,0.848344168,2,16,494,497,474,477,469,8,1
1,0.928883995,14,72,1055,1056,956,957,982,0,1
1,0.391243564,3,34,2349,2407,1842,1895,2164,11,1
1,0,14,84,598,698,559,645,172,6,1
1,0.765396577,4,25,1471,1558,1356,1430,167,31,1
1,0,1,8,1057,1057,958,958,304,38,1
1,0.40217919,2,16,956,965,911,920,291,0,1
1,0.345117315,3,25,1058,1087,956,985,933,0,1
1,0.756482507,5,33,383,486,363,466,458,1,1
1,0.60970964,1,6,397,563,383,539,518,2,1
1,0.810851215,6,34,777,777,723,723,262,9,1
1,0.962961065,1,9,776,824,743,791,521,0,1
1,0,2,10,647,647,544,544,155,0,1
1,0.337290067,2,13,951,1060,904,983,307,6,1
2,0.764204507,6,19,423,425,384,386,407,0,1
1,0.985228136,2,19,1108,1108,1006,1006,956,1,1
1,0.888297114,1,7,2274,3231,2075,2888,2328,0,1
1,0,3,26,2665,2935,2314,2583,2072,0,1
1,0.941515317,2,12,2102,3040,1959,2737,2145,0,1
1,0.543564443,1,12,553,1136,548,1032,974,1,1
1,0.69621226,1,11,465,1126,460,1022,972,2,1
1,0.926819064,6,30,522,646,472,573,149,5,1
1,0.961236605,4,26,1550,2660,1314,2311,1812,2,1
1,0.668127334,21,94,772,779,754,760,763,13,1
1,0.380946586,1,16,1117,1120,1007,1010,970,2,1
1,0.836640742,2,14,1020,1173,915,1060,339,4,1
1,0.878761458,11,68,764,794,580,610,461,4,1
1,0.887943969,8,63,772,800,588,616,466,8,1
1,0.80434643,6,69,1655,1655,1529,1529,313,5,1
1,0,1,11,491,514,436,459,421,0,1
1,0.763995628,4,26,1237,1237,1127,1127,321,15,1
1,0.522559375,9,48,810,814,747,750,294,14,1
1,0.881290899,1,14,1102,1181,979,1057,1020,5,1
1,0.759586627,5,38,422,483,328,389,299,3,1
1,0.811278124,2,27,2044,3097,1815,2753,2193,0,1
1,0.973724428,7,48,839,839,788,788,334,1,1
1,0.913339252,10,50,412,865,352,674,527,2,1
1,0.970950594,5,42,1476,2820,1284,2430,2465,1,1
1,0.924707655,9,40,1235,1449,991,1198,1401,24,1
1,0.40217919,3,31,1165,1165,1051,1051,1010,0,1
1,0,1,19,811,882,735,779,196,0,1
1,0.246022578,3,29,4427,4639,3722,3934,3331,15,1
1,0.962706936,3,24,1363,2856,1175,2469,2496,2,1
1,0,1,28,1158,1158,1031,1031,354,2,1
1,0.900967841,2,17,1286,1451,1170,1324,370,2,1
2,0.692215856,3,20,461,496,414,449,433,13,1
1,1,2,23,1112,1112,984,984,339,0,1
1,0,2,24,1974,1976,1584,1586,1715,0,1
1,0.811278124,5,35,3377,4434,2799,3715,3240,1,1
1,0.516343117,3,23,1325,1325,1183,1183,372,0,1
1,0.875708222,6,41,1522,2176,1336,1980,2111,5,1
1,0.837424548,1,7,584,834,561,779,553,0,1
1,0.574635698,2,57,2261,2261,1814,1814,2036,4,1
1,0.979868757,6,26,3813,4115,3384,3677,3051,0,1
1,0.885172694,14,112,310,310,302,302,303,9,1
1,0,1,6,1622,1878,1373,1613,1817,0,1
1,0.779144897,2,18,1860,2105,1466,1686,1662,0,1
1,0.988699408,5,26,3994,4219,3484,3640,3176,1,1
1,0,1,11,715,772,697,753,711,1,1
1,0.779349837,8,49,1864,1893,1634,1663,1803,4,1
1,0.521325887,2,21,3946,4506,3444,3807,3531,15,1
1,0.751450925,4,38,2473,2637,2226,2389,2502,22,1
1,0.937067751,9,40,255,258,219,222,251,11,1
1,0.699801572,18,95,715,727,706,716,714,0,1
1,0.970950594,6,74,3384,3389,2848,2853,2314,1,1
1,0.985228136,10,69,1321,1928,1076,1667,1881,1,1
1,0,1,6,409,413,343,347,278,2,1
1,0.912999214,3,15,1344,1345,1210,1211,1067,2,1
1,0.989822056,22,271,1095,1095,978,978,394,9,1
1,0.836640742,4,45,1858,1858,1658,1658,1352,2,1
1,0.826164387,7,43,3261,3261,2281,2281,2959,2,1
1,0.998845536,9,57,1745,1750,1511,1516,1654,0,1
1,0.985868122,2,26,808,910,761,863,256,5,1
1,0.547894811,2,19,1571,1573,1343,1345,1520,2,1
1,0.912608551,10,64,728,733,599,604,241,1,1
1,0.839919932,22,414,1884,1900,1744,1760,426,6,1
1,0.85169245,8,72,3468,3474,3083,3089,2316,0,1
1,0.965345948,3,24,829,832,764,767,231,15,1
1,0.997022947,5,29,1436,1442,1279,1285,1112,4,1
1,0.592076302,4,32,3497,3760,3140,3391,2605,15,1
1,0.272970858,3,24,598,627,459,488,444,1,1
1,0.970950594,3,20,2180,2736,1720,2256,2491,2,1
1,0.563102824,4,22,3149,3319,2731,2899,2374,5,1
1,0.985228136,3,37,3560,3594,2747,2778,3342,0,1
1,0.852043477,11,75,1907,1959,1426,1478,1728,10,1
1,0,1,11,391,391,329,329,107,0,1
1,0.900006364,3,37,1332,1332,1184,1184,1065,3,1
1,0.629249224,8,63,1014,1016,865,867,932,3,1
1,0.700035071,14,95,3100,3363,2691,2953,2161,11,1
1,0.68924478,8,58,2728,2762,2313,2338,2622,7,1
1,0.683660957,11,50,1265,1274,1210,1216,1248,8,1
1,0.865693994,8,276,1222,1229,1133,1140,456,1,1
1,0.503258335,2,15,2218,2229,1717,1725,2019,10,1
1,0.591672779,16,174,2102,2110,1650,1656,1738,0,1
1,0.764204507,1,9,662,742,632,710,670,0,1
1,0.811278124,4,44,3674,3691,3181,3194,2719,15,1
1,0.623058603,6,54,236,378,200,342,213,11,1
1,0.7501535,8,45,161,398,161,312,252,33,1
1,0.861537539,8,30,2166,2214,1926,1960,487,18,1
1,0.774559708,10,43,555,563,493,501,239,6,1
1,0.998363673,5,52,594,627,550,583,574,2,1
1,0.859986547,6,43,5327,5389,4326,4378,3742,2,1
1,1,3,36,1236,1277,1129,1161,498,0,1
1,0.793049005,5,94,1240,1240,1092,1092,501,17,1
1,0,4,46,841,850,730,738,375,0,1
1,0.775512658,6,39,2321,2321,2108,2108,527,1,1
1,0.839469573,6,76,974,975,904,905,462,25,1
1,0.784631424,7,66,1420,1476,1233,1276,522,19,1
1,0,1,14,2848,2935,2498,2585,1980,0,1
1,0.672294817,2,11,672,677,641,646,644,1,1
1,0.721928095,3,10,676,681,645,650,648,0,1
1,0,1,8,2222,2266,2000,2044,1398,0,1
1,0.26231122,3,21,3532,3591,3063,3122,2636,11,1
1,0.953317131,11,101,2541,2549,2055,2063,2425,2,1
1,1,1,21,722,724,691,693,666,0,1
1,0,2,13,575,1893,566,1626,1835,0,1
1,0.723308334,1,23,677,1024,629,888,396,1,1
1,0.818773207,6,58,1055,1128,927,987,372,13,1
1,0.742409527,3,66,696,1058,643,916,316,0,1
1,0.685220383,11,57,3031,3046,2287,2302,2790,2,1
1,0.883395216,12,81,3656,3659,3174,3177,2711,8,1
1,0.40217919,2,75,1035,1040,957,962,461,2,1
1,0.6967176,8,73,1439,1483,1289,1322,1162,5,1
1,0.65086767,9,39,1237,1237,1087,1087,1053,3,1
1,0.707892863,13,69,772,2185,607,1838,1282,2,1
1,0.702466551,4,45,664,687,553,576,246,3,1
1,0.998000884,16,109,3761,3761,3151,3151,2769,2,1
1,0.88864667,8,50,3936,3936,3390,3390,2741,2,1
1,0.817127297,12,64,1228,1228,1075,1075,1068,19,1
1,0.966870165,11,45,382,435,292,345,288,7,1
2,0.398213935,6,83,970,1024,841,895,419,0,1
1,0.817644692,26,163,1070,1072,916,918,930,121,1
1,0.835116495,21,142,1484,1490,1302,1308,1424,10,1
1,0.962961065,2,15,751,811,594,654,548,1,1
1,0.818939757,2,21,752,811,673,731,354,24,1
1,0.499836713,3,58,1557,1570,1429,1435,582,4,1
1,0.933966066,10,53,207,207,207,207,175,1,1
1,0.735719021,3,55,553,553,494,494,228,1,1
1,0.916179884,18,102,2302,2311,2082,2091,1432,15,1
1,0,10,74,1721,1736,1601,1614,1651,19,1
1,0.880142781,3,46,1703,1704,1481,1482,171,20,1
1,0.870229098,4,21,2697,2873,2302,2473,1742,0,1
1,0,2,12,2410,2413,1998,2000,2257,23,1
1,0.764103902,6,49,1176,1177,1027,1028,1118,8,1
1,0,2,14,2452,2526,2134,2208,1607,0,1
1,0.960518707,1,11,3098,3098,2522,2522,2959,0,1
1,0.882601331,27,170,2802,2802,2451,2451,1919,28,1
1,0.990814339,4,45,899,949,835,885,373,23,1
1,0.811278124,1,11,543,543,533,533,192,2,1
1,0.672482701,6,28,160,233,159,232,200,22,1
1,0.702466551,2,16,1919,2025,1669,1760,361,0,1
1,0.619382195,7,63,1577,1577,1418,1418,594,4,1
1,0.770395378,7,45,1207,1208,1040,1041,1062,4,1
1,0,2,20,662,766,650,749,716,0,1
1,0.509515718,3,29,1339,1375,1173,1208,1207,0,1
1,0.778511813,13,79,559,562,534,537,279,0,1
1,0.970950594,1,20,2130,2221,1860,1935,492,4,1
1,0.791858353,6,74,4810,4810,3699,3699,3590,6,1
