contains_bug,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_num_nodes,del_num_edges,del_max_degree
True,7,6,0.8571,0.8571,4,12,1,7,7,6
True,5,4,0.8,0.8,3,8,1,0,0,0
True,28,53,1.8929,1.8929,15,106,3,21,34,12
True,38,81,2.1316,2.1316,17,162,4,28,49,14
True,35,80,2.2857,2.2857,23,160,4,22,42,13
True,13,16,1.2308,1.2308,8,32,2,28,57,14
True,0,0,0.0,0.0,0,0,0,0,0,0
True,22,36,1.6364,1.6364,12,72,3,26,42,13
True,23,34,1.4783,1.4783,11,68,3,0,0,0
True,29,51,1.7586,1.7586,16,102,3,13,18,7
True,33,71,2.1515,2.1515,14,142,4,26,52,13
True,31,60,1.9355,1.9355,16,120,3,29,58,14
True,26,43,1.6538,1.6538,10,86,3,9,12,7
True,23,32,1.3913,1.3913,10,64,2,20,27,10
True,30,58,1.9333,1.9333,13,116,3,31,58,13
True,24,34,1.4167,1.4167,11,68,2,25,34,10
True,43,94,2.186,2.186,19,188,4,41,91,16
True,15,23,1.5333,1.5333,8,46,3,15,21,7
True,35,63,1.8,1.8,13,126,3,31,54,13
True,35,73,2.0857,2.0857,14,146,4,53,120,31
True,36,64,1.7778,1.7778,15,128,3,0,0,0
True,21,35,1.6667,1.6667,11,70,3,20,33,11
True,0,0,0.0,0.0,0,0,0,0,0,0
True,23,32,1.3913,1.3913,11,64,2,34,63,14
True,21,31,1.4762,1.4762,8,62,2,16,21,8
True,0,0,0.0,0.0,0,0,0,0,0,0
True,0,0,0.0,0.0,0,0,0,0,0,0
True,0,0,0.0,0.0,0,0,0,0,0,0
True,8,10,1.25,1.25,6,20,2,8,10,6
True,12,17,1.4167,1.4167,7,34,2,18,24,8
True,8,12,1.5,1.5,7,24,3,3,3,4
True,35,74,2.1143,2.1143,14,148,4,17,25,10
True,25,43,1.72,1.72,11,86,3,26,46,11
True,30,50,1.6667,1.6667,11,100,3,29,50,11
True,28,52,1.8571,1.8571,11,104,3,35,69,12
True,28,46,1.6429,1.6429,12,92,3,22,35,11
True,25,46,1.84,1.84,18,92,3,24,46,17
True,34,64,1.8824,1.8824,12,128,3,17,25,8
True,34,82,2.4118,2.4118,17,164,4,40,102,21
True,30,49,1.6333,1.6333,11,98,3,24,38,9
True,46,120,2.6087,2.6087,24,240,5,49,139,38
True,19,29,1.5263,1.5263,9,58,3,21,33,8
True,41,95,2.3171,2.3171,24,190,4,31,68,18
True,19,30,1.5789,1.5789,10,60,3,19,27,10
True,28,47,1.6786,1.6786,11,94,3,21,34,9
True,8,8,1.0,1.0,4,16,2,8,8,4
True,40,105,2.625,2.625,25,210,5,37,89,22
True,51,129,2.5294,2.5294,25,258,5,53,144,36
True,26,48,1.8462,1.8462,11,96,3,26,47,12
True,27,42,1.5556,1.5556,12,84,3,8,11,6
True,19,23,1.2105,1.2105,8,46,2,0,0,0
True,27,55,2.037,2.037,17,110,4,19,31,16
True,18,28,1.5556,1.5556,10,56,3,16,28,9
True,31,63,2.0323,2.0323,17,126,4,27,47,12
True,19,23,1.2105,1.2105,8,46,2,0,0,0
True,25,45,1.8,1.8,13,90,3,25,45,13
True,39,76,1.9487,1.9487,16,152,3,33,63,17
True,36,59,1.6389,1.6389,12,118,3,25,34,10
True,18,28,1.5556,1.5556,8,56,3,18,28,8
True,5,8,1.6,1.6,6,16,3,5,8,6
True,22,36,1.6364,1.6364,9,72,3,20,31,9
True,26,46,1.7692,1.7692,13,92,3,43,88,18
True,0,0,0.0,0.0,0,0,0,0,0,0
True,19,28,1.4737,1.4737,8,56,2,14,20,7
True,22,35,1.5909,1.5909,11,70,3,36,73,16
True,34,73,2.1471,2.1471,15,146,4,38,83,15
True,12,12,1.0,1.0,4,24,2,8,7,4
True,0,0,0.0,0.0,0,0,0,0,0,0
True,11,10,0.9091,0.9091,4,20,2,0,0,0
True,15,23,1.5333,1.5333,10,46,3,17,23,8
True,29,63,2.1724,2.1724,18,126,4,31,67,16
True,28,45,1.6071,1.6071,10,90,3,0,0,0
True,20,28,1.4,1.4,8,56,2,8,9,4
True,32,54,1.6875,1.6875,11,108,3,0,0,0
True,29,54,1.8621,1.8621,14,108,3,22,39,11
True,36,69,1.9167,1.9167,15,138,4,21,35,9
True,31,63,2.0323,2.0323,16,126,4,29,53,14
True,26,45,1.7308,1.7308,15,90,3,22,38,12
True,22,33,1.5,1.5,10,66,3,15,21,9
True,14,19,1.3571,1.3571,7,38,2,18,28,8
True,19,22,1.1579,1.1579,8,44,2,4,2,2
True,22,36,1.6364,1.6364,11,72,3,22,36,11
True,37,81,2.1892,2.1892,17,162,4,36,78,17
True,22,36,1.6364,1.6364,13,72,3,25,45,13
True,21,31,1.4762,1.4762,12,62,3,17,27,11
True,32,62,1.9375,1.9375,14,124,3,22,41,11
True,24,43,1.7917,1.7917,14,86,3,40,87,19
True,30,51,1.7,1.7,10,102,3,26,45,11
True,27,54,2.0,2.0,12,108,4,26,51,12
True,5,3,0.6,0.6,3,6,1,4,2,2
True,24,36,1.5,1.5,9,72,3,15,24,10
True,38,88,2.3158,2.3158,20,176,4,41,93,20
True,26,47,1.8077,1.8077,13,94,3,24,42,11
True,31,57,1.8387,1.8387,12,114,3,21,37,12
True,20,35,1.75,1.75,12,70,3,28,54,13
True,34,63,1.8529,1.8529,13,126,3,23,37,10
True,30,71,2.3667,2.3667,15,142,4,33,73,14
True,19,27,1.4211,1.4211,8,54,3,0,0,0
True,37,80,2.1622,2.1622,16,160,4,40,88,20
True,20,31,1.55,1.55,10,62,3,22,37,13
True,25,44,1.76,1.76,12,88,3,17,23,8
True,7,9,1.2857,1.2857,5,18,2,0,0,0
True,17,28,1.6471,1.6471,9,56,3,19,31,10
True,18,31,1.7222,1.7222,10,62,3,18,31,10
True,42,89,2.119,2.119,19,178,4,42,89,19
True,33,68,2.0606,2.0606,13,136,4,32,73,17
True,7,9,1.2857,1.2857,5,18,2,0,0,0
True,27,43,1.5926,1.5926,10,86,3,14,18,7
True,11,12,1.0909,1.0909,5,24,2,13,15,3
True,21,32,1.5238,1.5238,10,64,3,10,14,8
True,31,62,2.0,2.0,16,124,4,24,46,11
True,46,126,2.7391,2.7391,34,252,5,43,116,31
True,21,33,1.5714,1.5714,8,66,3,28,43,8
True,30,77,2.5667,2.5667,21,154,5,25,57,15
True,14,22,1.5714,1.5714,9,44,3,14,22,9
True,9,14,1.5556,1.5556,8,28,3,9,14,8
True,33,69,2.0909,2.0909,15,138,4,35,64,13
True,10,15,1.5,1.5,4,30,3,10,15,4
True,31,75,2.4194,2.4194,22,150,4,36,88,21
True,27,45,1.6667,1.6667,8,90,3,3,4,4
True,44,128,2.9091,2.9091,31,256,5,46,135,32
True,34,68,2.0,2.0,19,136,4,43,95,19
True,30,50,1.6667,1.6667,13,100,3,6,3,3
True,26,44,1.6923,1.6923,9,88,3,22,38,13
True,32,58,1.8125,1.8125,13,116,3,18,25,10
True,28,46,1.6429,1.6429,14,92,3,15,22,11
True,20,29,1.45,1.45,9,58,2,18,26,9
True,10,15,1.5,1.5,7,30,3,10,15,7
True,32,56,1.75,1.75,10,112,3,6,5,3
True,22,35,1.5909,1.5909,8,70,3,21,33,8
True,24,38,1.5833,1.5833,11,76,3,22,31,9
True,22,38,1.7273,1.7273,13,76,3,40,87,20
True,0,0,0.0,0.0,0,0,0,0,0,0
True,35,77,2.2,2.2,17,154,4,38,85,17
True,20,27,1.35,1.35,10,54,2,18,26,13
True,31,58,1.871,1.871,16,116,3,34,66,14
True,25,49,1.96,1.96,11,98,3,26,45,11
True,29,48,1.6552,1.6552,12,96,3,18,29,13
True,18,27,1.5,1.5,12,54,3,11,20,10
True,13,18,1.3846,1.3846,10,36,3,8,10,5
True,27,43,1.5926,1.5926,18,86,3,27,47,18
True,25,40,1.6,1.6,11,80,3,20,28,9
True,25,39,1.56,1.56,12,78,3,25,43,10
True,24,37,1.5417,1.5417,8,74,3,22,32,11
True,12,18,1.5,1.5,9,36,3,5,7,5
True,40,91,2.275,2.275,19,182,4,37,77,14
True,29,58,2.0,2.0,13,116,4,19,35,10
True,49,149,3.0408,3.0408,32,298,6,51,144,33
True,21,37,1.7619,1.7619,14,74,3,15,28,12
True,37,80,2.1622,2.1622,17,160,4,35,69,16
True,35,68,1.9429,1.9429,15,136,3,37,72,17
True,29,55,1.8966,1.8966,16,110,3,26,46,12
True,19,27,1.4211,1.4211,8,54,3,0,0,0
True,34,67,1.9706,1.9706,14,134,3,10,14,8
True,41,90,2.1951,2.1951,15,180,4,39,95,18
True,15,25,1.6667,1.6667,8,50,3,14,22,7
True,46,105,2.2826,2.2826,22,210,4,40,87,18
True,30,44,1.4667,1.4667,12,88,3,24,37,12
True,14,18,1.2857,1.2857,7,36,2,8,11,6
True,20,26,1.3,1.3,8,52,2,9,10,6
True,27,38,1.4074,1.4074,8,76,2,33,53,11
True,8,9,1.125,1.125,4,18,2,8,9,4
True,37,88,2.3784,2.3784,19,176,4,37,89,19
True,17,23,1.3529,1.3529,8,46,2,7,10,5
True,24,35,1.4583,1.4583,10,70,2,25,39,8
True,42,96,2.2857,2.2857,18,192,4,30,62,17
True,21,26,1.2381,1.2381,9,52,2,0,0,0
True,12,16,1.3333,1.3333,6,32,2,7,7,4
True,7,10,1.4286,1.4286,5,20,2,25,43,12
True,26,38,1.4615,1.4615,9,76,3,7,10,5
True,23,35,1.5217,1.5217,9,70,3,0,0,0
True,25,34,1.36,1.36,9,68,2,10,12,5
True,45,97,2.1556,2.1556,20,194,4,35,71,15
True,27,58,2.1481,2.1481,15,116,4,26,51,14
True,27,43,1.5926,1.5926,10,86,3,22,33,9
True,9,12,1.3333,1.3333,6,24,2,11,13,6
True,25,38,1.52,1.52,9,76,3,22,32,7
True,26,39,1.5,1.5,9,78,3,22,33,8
True,28,47,1.6786,1.6786,13,94,3,29,46,13
True,33,54,1.6364,1.6364,15,108,3,27,44,12
True,30,49,1.6333,1.6333,11,98,3,8,10,5
True,25,37,1.48,1.48,9,74,3,0,0,0
True,7,9,1.2857,1.2857,5,18,2,0,0,0
True,28,44,1.5714,1.5714,9,88,3,26,44,9
True,24,35,1.4583,1.4583,9,70,3,0,0,0
True,28,46,1.6429,1.6429,9,92,3,7,7,4
True,7,9,1.2857,1.2857,5,18,2,0,0,0
True,14,17,1.2143,1.2143,8,34,2,0,0,0
True,24,48,2.0,2.0,11,96,4,33,76,15
True,37,81,2.1892,2.1892,15,162,4,40,90,20
True,39,78,2.0,2.0,19,156,4,38,90,23
True,12,17,1.4167,1.4167,7,34,2,8,9,4
True,11,19,1.7273,1.7273,9,38,3,12,18,8
True,21,29,1.381,1.381,9,58,2,8,11,6
True,36,74,2.0556,2.0556,19,148,4,32,60,15
True,7,9,1.2857,1.2857,5,18,2,0,0,0
True,7,9,1.2857,1.2857,5,18,2,0,0,0
True,28,44,1.5714,1.5714,9,88,3,0,0,0
True,7,9,1.2857,1.2857,5,18,2,0,0,0
True,30,62,2.0667,2.0667,19,124,4,39,93,28
True,15,19,1.2667,1.2667,8,38,2,29,52,15
True,12,17,1.4167,1.4167,7,34,2,0,0,0
True,5,4,0.8,0.8,3,8,1,0,0,0
True,23,36,1.5652,1.5652,9,72,3,0,0,0
True,15,22,1.4667,1.4667,7,44,2,15,22,7
True,38,75,1.9737,1.9737,14,150,3,20,31,8
True,7,9,1.2857,1.2857,5,18,2,0,0,0
True,30,50,1.6667,1.6667,11,100,3,0,0,0
True,23,36,1.5652,1.5652,9,72,3,19,29,9
True,20,30,1.5,1.5,11,60,3,40,82,16
True,27,49,1.8148,1.8148,10,98,3,26,46,10
True,32,52,1.625,1.625,11,104,3,11,13,5
True,34,69,2.0294,2.0294,13,138,4,21,37,10
True,32,54,1.6875,1.6875,11,108,3,25,39,10
True,29,64,2.2069,2.2069,14,128,4,24,37,15
True,39,101,2.5897,2.5897,21,202,5,33,75,21
True,23,36,1.5652,1.5652,9,72,3,19,27,9
True,7,9,1.2857,1.2857,5,18,2,0,0,0
True,31,56,1.8065,1.8065,11,112,3,25,50,14
True,14,25,1.7857,1.7857,9,50,3,26,38,10
True,0,0,0.0,0.0,0,0,0,0,0,0
True,24,51,2.125,2.125,11,102,4,20,33,10
True,31,58,1.871,1.871,15,116,3,25,40,13
True,34,65,1.9118,1.9118,14,130,3,17,25,10
True,37,80,2.1622,2.1622,18,160,4,26,45,12
True,37,80,2.1622,2.1622,19,160,4,37,79,19
True,32,54,1.6875,1.6875,11,108,3,0,0,0
True,32,65,2.0312,2.0312,16,130,4,32,68,14
True,7,9,1.2857,1.2857,5,18,2,0,0,0
True,22,30,1.3636,1.3636,10,60,2,21,28,9
True,38,97,2.5526,2.5526,18,194,5,37,86,18
True,6,6,1.0,1.0,4,12,2,6,6,4
True,28,53,1.8929,1.8929,16,106,3,5,6,5
True,0,0,0.0,0.0,0,0,0,0,0,0
True,40,88,2.2,2.2,21,176,4,40,92,22
True,40,79,1.975,1.975,14,158,3,33,56,11
True,8,10,1.25,1.25,5,20,2,8,10,5
True,20,28,1.4,1.4,11,56,2,23,37,10
True,32,70,2.1875,2.1875,15,140,4,33,73,15
True,19,29,1.5263,1.5263,9,58,3,0,0,0
True,20,32,1.6,1.6,11,64,3,3,2,2
True,37,87,2.3514,2.3514,17,174,4,36,89,22
True,33,61,1.8485,1.8485,16,122,3,25,47,11
True,37,88,2.3784,2.3784,17,176,4,43,99,17
True,18,28,1.5556,1.5556,9,56,3,32,57,13
True,25,51,2.04,2.04,12,102,4,27,58,11
True,30,55,1.8333,1.8333,15,110,3,21,40,11
True,40,79,1.975,1.975,14,158,3,40,82,17
True,22,33,1.5,1.5,8,66,3,16,23,8
True,37,85,2.2973,2.2973,17,170,4,31,63,16
True,29,48,1.6552,1.6552,10,96,3,8,11,6
True,0,0,0.0,0.0,0,0,0,0,0,0
True,32,77,2.4062,2.4062,17,154,4,41,94,21
True,20,33,1.65,1.65,10,66,3,38,77,17
True,18,30,1.6667,1.6667,13,60,3,21,38,12
True,31,66,2.129,2.129,15,132,4,33,70,18
True,17,27,1.5882,1.5882,10,54,3,24,45,13
True,18,27,1.5,1.5,12,54,3,13,19,8
True,20,27,1.35,1.35,10,54,2,13,18,8
True,33,55,1.6667,1.6667,16,110,3,31,53,16
True,21,35,1.6667,1.6667,14,70,3,10,14,8
True,42,106,2.5238,2.5238,22,212,5,39,93,20
True,38,81,2.1316,2.1316,16,162,4,42,91,18
True,31,59,1.9032,1.9032,11,118,3,37,81,15
True,36,66,1.8333,1.8333,14,132,3,23,38,11
True,35,64,1.8286,1.8286,17,128,3,35,62,15
True,36,74,2.0556,2.0556,15,148,4,26,46,12
True,22,31,1.4091,1.4091,11,62,2,14,19,8
True,41,97,2.3659,2.3659,19,194,4,39,92,20
True,24,37,1.5417,1.5417,9,74,3,6,7,4
True,30,53,1.7667,1.7667,13,106,3,19,28,9
True,15,19,1.2667,1.2667,8,38,2,0,0,0
True,19,27,1.4211,1.4211,8,54,3,18,27,8
True,29,52,1.7931,1.7931,12,104,3,10,19,9
True,14,19,1.3571,1.3571,7,38,2,12,16,6
True,13,20,1.5385,1.5385,7,40,3,20,33,9
True,28,53,1.8929,1.8929,13,106,3,20,38,12
True,46,123,2.6739,2.6739,31,246,5,46,121,31
True,18,28,1.5556,1.5556,10,56,3,18,28,10
True,33,71,2.1515,2.1515,16,142,4,30,66,15
True,31,51,1.6452,1.6452,16,102,3,21,32,13
True,31,59,1.9032,1.9032,11,118,3,29,49,11
True,31,49,1.5806,1.5806,16,98,3,26,38,12
True,18,26,1.4444,1.4444,8,52,2,18,26,8
True,0,0,0.0,0.0,0,0,0,0,0,0
True,33,72,2.1818,2.1818,15,144,4,36,80,19
True,23,41,1.7826,1.7826,11,82,3,17,25,8
True,39,105,2.6923,2.6923,21,210,5,40,100,23
True,41,99,2.4146,2.4146,19,198,4,38,95,20
True,7,9,1.2857,1.2857,5,18,2,7,9,5
True,28,44,1.5714,1.5714,10,88,3,23,33,11
True,0,0,0.0,0.0,0,0,0,0,0,0
True,21,31,1.4762,1.4762,11,62,2,23,34,11
True,33,61,1.8485,1.8485,16,122,3,26,41,14
True,7,9,1.2857,1.2857,5,18,2,0,0,0
True,32,56,1.75,1.75,13,112,3,38,70,13
True,29,44,1.5172,1.5172,10,88,3,15,20,8
True,30,57,1.9,1.9,18,114,3,22,35,12
True,28,51,1.8214,1.8214,15,102,3,28,54,15
True,23,33,1.4348,1.4348,11,66,3,12,16,7
True,34,64,1.8824,1.8824,15,128,3,25,40,13
True,0,0,0.0,0.0,0,0,0,0,0,0
True,37,94,2.5405,2.5405,21,188,5,42,108,29
True,37,72,1.9459,1.9459,17,144,4,31,61,15
True,38,85,2.2368,2.2368,20,170,4,7,6,4
True,41,89,2.1707,2.1707,19,178,4,37,88,20
True,31,53,1.7097,1.7097,15,106,3,26,42,11
True,46,124,2.6957,2.6957,25,248,5,53,155,38
True,35,73,2.0857,2.0857,17,146,4,36,74,20
True,14,24,1.7143,1.7143,8,48,3,38,81,19
True,0,0,0.0,0.0,0,0,0,0,0,0
True,39,81,2.0769,2.0769,17,162,4,29,60,17
True,36,86,2.3889,2.3889,18,172,4,55,138,32
True,14,17,1.2143,1.2143,7,34,2,0,0,0
True,8,11,1.375,1.375,6,22,2,8,11,6
True,40,96,2.4,2.4,21,192,4,41,94,19
True,20,28,1.4,1.4,10,56,2,26,37,14
True,18,31,1.7222,1.7222,12,62,3,19,32,11
True,10,12,1.2,1.2,7,24,2,9,10,6
True,28,43,1.5357,1.5357,14,86,3,27,47,13
True,22,33,1.5,1.5,10,66,3,25,40,11
True,4,5,1.25,1.25,4,10,2,4,5,4
True,42,101,2.4048,2.4048,23,202,4,46,110,23
True,14,18,1.2857,1.2857,8,36,2,14,18,8
True,9,13,1.4444,1.4444,8,26,2,10,14,9
True,29,53,1.8276,1.8276,16,106,3,28,50,15
True,26,47,1.8077,1.8077,14,94,3,27,48,14
True,43,121,2.814,2.814,26,242,5,47,125,31
True,34,62,1.8235,1.8235,12,124,3,28,48,13
True,39,85,2.1795,2.1795,19,170,4,31,51,12
True,17,22,1.2941,1.2941,7,44,2,15,20,7
True,19,25,1.3158,1.3158,9,50,2,18,23,8
True,29,54,1.8621,1.8621,17,108,3,31,59,15
True,38,85,2.2368,2.2368,18,170,4,44,97,19
True,17,22,1.2941,1.2941,10,44,2,16,24,12
True,23,38,1.6522,1.6522,9,76,3,23,40,10
True,13,15,1.1538,1.1538,6,30,2,6,4,3
True,18,26,1.4444,1.4444,9,52,2,0,0,0
True,21,30,1.4286,1.4286,10,60,3,16,23,10
True,39,75,1.9231,1.9231,18,150,3,39,75,18
True,17,28,1.6471,1.6471,10,56,3,17,25,8
True,40,76,1.9,1.9,18,152,3,40,76,18
True,28,47,1.6786,1.6786,11,94,3,29,48,11
True,35,69,1.9714,1.9714,17,138,3,29,55,13
True,36,80,2.2222,2.2222,19,160,4,33,62,15
True,34,63,1.8529,1.8529,12,126,3,19,30,10
True,36,78,2.1667,2.1667,15,156,4,35,63,13
True,33,66,2.0,2.0,14,132,4,26,47,11
True,26,47,1.8077,1.8077,11,94,3,30,56,12
True,30,56,1.8667,1.8667,12,112,3,26,47,11
True,36,73,2.0278,2.0278,18,146,4,23,40,12
True,41,89,2.1707,2.1707,19,178,4,37,75,15
True,26,50,1.9231,1.9231,14,100,4,15,28,10
True,33,66,2.0,2.0,15,132,4,25,49,12
True,21,29,1.381,1.381,8,58,2,16,22,7
True,24,40,1.6667,1.6667,13,80,3,22,35,13
True,35,65,1.8571,1.8571,13,130,3,35,63,14
True,24,35,1.4583,1.4583,9,70,3,14,15,7
True,29,48,1.6552,1.6552,10,96,3,25,42,9
True,25,43,1.72,1.72,14,86,3,25,43,14
True,30,57,1.9,1.9,13,114,3,25,47,15
True,21,29,1.381,1.381,9,58,2,7,10,5
True,21,31,1.4762,1.4762,9,62,2,13,19,8
True,32,58,1.8125,1.8125,13,116,3,26,43,13
True,21,33,1.5714,1.5714,10,66,3,21,33,10
True,24,36,1.5,1.5,12,72,3,14,19,9
True,16,22,1.375,1.375,7,44,2,16,22,7
True,16,23,1.4375,1.4375,10,46,2,10,11,6
True,33,67,2.0303,2.0303,16,134,4,10,13,9
True,29,52,1.7931,1.7931,13,104,3,29,50,16
True,38,72,1.8947,1.8947,15,144,3,35,64,16
True,11,15,1.3636,1.3636,7,30,2,11,15,7
True,25,44,1.76,1.76,14,88,3,18,27,9
True,18,29,1.6111,1.6111,9,58,3,23,38,9
True,47,111,2.3617,2.3617,22,222,4,49,118,26
