contains_bug,add_density,add_num_nodes,add_num_edges,add_max_degree,add_sum_degree,del_density,del_num_nodes,del_num_edges,del_max_degree,del_sum_degree
True,0.07,28,51,15,102,0.07,28,50,15,100
True,0.07,26,46,11,92,0.1,18,30,10,60
True,0.06,30,54,16,108,0.08,23,38,15,76
True,0.08,22,37,15,74,0.08,22,37,15,74
True,0.06,29,50,16,100,0.07,27,49,17,98
False,0.13,13,21,12,42,0.13,13,21,12,42
False,0.11,15,23,12,46,0.12,14,21,12,42
False,0.06,24,35,11,70,0.06,25,36,12,72
False,0.08,18,24,9,48,0.08,18,24,9,48
False,0.12,13,18,12,36,0.12,13,18,12,36
False,0.1,16,25,12,50,0.13,12,17,11,34
False,0.08,23,38,14,76,0.11,14,20,13,40
False,0.14,10,13,8,26,0.14,10,13,8,26
False,0.16,12,21,9,42,0.16,12,21,9,42
False,0.14,14,25,12,50,0.14,13,22,11,44
False,0.07,25,41,13,82,0.07,25,41,13,82
False,0.06,30,52,15,104,0.13,12,17,8,34
False,0.14,11,15,10,30,0.14,11,15,10,30
False,0.07,25,39,15,78,0.08,21,33,14,66
False,0.08,23,40,15,80,0.13,14,23,13,46
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.09,18,28,13,56,0.09,18,28,13,56
False,0.15,12,20,8,40,0.15,12,20,8,40
False,0.06,32,59,14,118,0.07,30,59,15,118
False,0.11,13,17,9,34,0.11,13,17,9,34
False,0.07,25,41,12,82,0.07,25,40,12,80
False,0.08,23,38,13,76,0.08,23,38,13,76
False,0.13,13,20,10,40,0.09,18,28,11,56
False,0.17,9,12,7,24,0.17,9,12,7,24
False,0.13,13,21,9,42,0.13,13,21,9,42
False,0.17,6,5,5,10,0.17,6,5,5,10
False,0.1,18,31,11,62,0.1,18,30,11,60
False,0.06,27,43,13,86,0.06,27,43,13,86
False,0.16,12,21,9,42,0.16,12,21,9,42
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.1,19,35,16,70,0.11,16,26,13,52
False,0.09,17,24,15,48,0.1,17,26,15,52
False,0.09,16,22,13,44,0.09,16,22,13,44
False,0.16,11,18,10,36,0.18,10,16,8,32
False,0.06,34,64,13,128,0.06,32,58,12,116
False,0.12,15,26,12,52,0.13,12,17,11,34
False,0.08,18,25,12,50,0.08,18,25,12,50
False,0.05,42,94,18,188,0.06,33,61,16,122
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.13,12,17,11,34,0.13,12,17,11,34
False,0.09,18,28,13,56,0.09,18,28,13,56
False,0.13,12,17,8,34,0.13,12,17,8,34
False,0.15,12,20,8,40,0.15,12,20,8,40
False,0.1,16,25,12,50,0.13,12,17,11,34
False,0.16,12,21,9,42,0.16,12,21,9,42
False,0.12,13,19,11,38,0.12,13,19,11,38
False,0.06,29,48,14,96,0.06,29,48,14,96
False,0.07,19,25,13,50,0.07,19,25,13,50
False,0.06,33,63,15,126,0.06,32,58,14,116
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.09,18,28,15,56,0.09,18,28,15,56
False,0.05,43,86,16,172,0.13,12,17,8,34
False,0.11,11,12,8,24,0.17,6,5,5,10
False,0.11,14,20,13,40,0.11,14,20,13,40
False,0.14,10,13,8,26,0.14,10,13,8,26
False,0.14,11,15,10,30,0.14,10,13,8,26
False,0.12,12,16,9,32,0.12,12,16,9,32
False,0.07,22,33,13,66,0.07,22,33,13,66
False,0.17,12,22,9,44,0.17,12,22,9,44
False,0.14,10,13,8,26,0.09,17,25,9,50
False,0.16,11,18,10,36,0.16,11,18,10,36
False,0.09,19,30,14,60,0.12,14,21,13,42
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.06,29,48,14,96,0.06,29,48,14,96
False,0.1,16,24,10,48,0.1,16,24,10,48
False,0.17,7,7,7,14,0.17,7,7,7,14
False,0.07,25,43,16,86,0.08,22,36,16,72
False,0.1,18,30,13,60,0.1,19,33,13,66
False,0.09,18,27,13,54,0.1,17,26,14,52
False,0.11,15,24,11,48,0.11,15,24,11,48
False,0.1,13,16,9,32,0.1,13,16,9,32
False,0.12,13,19,12,38,0.12,13,19,12,38
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.23,6,7,5,14,0.23,6,7,5,14
False,0.06,24,35,11,70,0.06,25,36,12,72
False,0.14,13,22,10,44,0.14,13,22,10,44
False,0.08,24,43,15,86,0.09,18,29,12,58
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.06,30,55,19,110,0.06,30,56,19,112
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.13,13,20,12,40,0.13,13,20,12,40
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.16,12,21,9,42,0.16,12,21,9,42
False,0.08,18,26,11,52,0.08,18,26,11,52
False,0.17,6,5,5,10,0.17,6,5,5,10
False,0.1,16,24,11,48,0.12,13,19,10,38
False,0.06,23,32,14,64,0.06,23,32,14,64
False,0.11,13,17,9,34,0.11,13,17,9,34
False,0.11,9,8,6,16,0.11,9,8,6,16
False,0.07,37,92,19,184,0.1,20,38,13,76
False,0.11,13,17,9,34,0.11,13,17,9,34
False,0.07,29,53,17,106,0.08,20,32,15,64
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.1,17,26,11,52,0.1,17,26,11,52
False,0.14,10,13,8,26,0.14,11,15,10,30
False,0.06,31,59,16,118,0.06,31,57,15,114
False,0.12,12,16,9,32,0.12,12,16,9,32
False,0.07,27,48,14,96,0.06,25,37,13,74
False,0.15,12,20,8,40,0.13,12,17,8,34
False,0.15,12,20,8,40,0.15,12,20,8,40
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.11,12,15,9,30,0.14,10,13,8,26
False,0.08,19,28,14,56,0.07,20,28,14,56
False,0.12,12,16,9,32,0.12,12,16,9,32
False,0.1,16,23,11,46,0.1,16,23,11,46
False,0.1,16,24,11,48,0.12,13,19,10,38
False,0.11,13,17,9,34,0.11,13,17,9,34
False,0.17,6,5,5,10,0.17,6,5,5,10
False,0.06,28,46,14,92,0.06,27,44,13,88
False,0.1,12,13,7,26,0.1,12,13,7,26
False,0.07,25,45,14,90,0.13,13,21,12,42
False,0.13,13,21,12,42,0.13,13,21,12,42
False,0.17,6,5,5,10,0.17,6,5,5,10
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.1,13,16,9,32,0.1,14,18,11,36
False,0.16,12,21,9,42,0.16,12,21,9,42
False,0.12,16,29,14,58,0.12,16,29,14,58
False,0.08,24,43,15,86,0.09,18,29,12,58
False,0.09,18,27,14,54,0.1,16,23,12,46
False,0.09,17,24,12,48,0.09,17,24,12,48
False,0.12,14,21,11,42,0.11,13,17,9,34
False,0.13,13,21,12,42,0.13,13,21,12,42
False,0.14,10,13,8,26,0.14,10,13,8,26
False,0.08,21,35,11,70,0.08,21,35,11,70
False,0.06,30,55,18,110,0.12,12,16,9,32
False,0.11,13,17,9,34,0.11,13,17,9,34
False,0.15,12,20,9,40,0.15,12,20,9,40
False,0.12,13,19,9,38,0.12,12,16,9,32
False,0.16,11,18,10,36,0.18,10,16,8,32
False,0.09,17,25,13,50,0.09,16,21,13,42
False,0.14,13,22,10,44,0.15,12,20,8,40
False,0.14,12,18,9,36,0.14,12,18,9,36
False,0.13,12,17,8,34,0.13,12,17,8,34
False,0.17,6,5,5,10,0.17,6,5,5,10
False,0.1,16,23,11,46,0.1,16,23,11,46
False,0.17,6,5,5,10,0.17,6,5,5,10
False,0.12,14,21,11,42,0.16,11,18,10,36
False,0.09,18,27,12,54,0.1,14,19,12,38
False,0.17,9,12,7,24,0.17,9,12,7,24
False,0.1,15,21,12,42,0.08,23,43,16,86
False,0.13,14,23,12,46,0.11,14,20,12,40
False,0.16,12,21,9,42,0.16,12,21,9,42
False,0.14,12,18,10,36,0.14,12,18,10,36
False,0.16,12,21,9,42,0.16,12,21,9,42
False,0.16,11,18,10,36,0.18,10,16,8,32
False,0.07,20,28,13,56,0.07,26,44,13,88
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.14,12,18,9,36,0.14,10,13,8,26
False,0.11,13,17,9,34,0.11,13,17,9,34
False,0.07,25,42,15,84,0.07,25,42,15,84
False,0.1,13,16,9,32,0.1,13,16,9,32
False,0.11,14,20,13,40,0.11,14,20,13,40
False,0.07,25,41,13,82,0.07,25,41,13,82
False,0.07,19,24,11,48,0.07,19,24,11,48
False,0.12,13,18,9,36,0.12,13,18,9,36
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.12,12,16,11,32,0.12,12,16,11,32
False,0.1,16,23,11,46,0.1,16,23,11,46
False,0.12,15,26,12,52,0.13,12,17,11,34
False,0.06,29,47,15,94,0.06,28,43,15,86
False,0.13,14,23,12,46,0.13,14,23,12,46
False,0.09,17,25,12,50,0.09,17,25,12,50
False,0.06,32,56,12,112,0.1,14,19,8,38
False,0.07,24,40,15,80,0.11,15,23,13,46
False,0.15,16,35,15,70,0.15,16,35,15,70
False,0.17,6,5,5,10,0.17,6,5,5,10
False,0.06,29,47,15,94,0.07,20,27,13,54
False,0.14,13,22,10,44,0.14,13,22,10,44
False,0.07,21,31,13,62,0.07,21,31,13,62
False,0.14,10,13,8,26,0.14,10,13,8,26
False,0.13,13,21,12,42,0.13,13,21,12,42
False,0.16,11,18,10,36,0.16,11,18,10,36
False,0.06,29,47,15,94,0.06,28,43,15,86
False,0.12,14,21,13,42,0.12,14,21,13,42
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.14,10,13,8,26,0.14,10,13,8,26
False,0.06,31,57,17,114,0.06,29,52,16,104
False,0.08,18,26,14,52,0.08,18,26,14,52
False,0.1,17,26,11,52,0.1,17,26,11,52
False,0.13,14,23,11,46,0.14,13,22,10,44
False,0.16,12,21,9,42,0.16,12,21,9,42
False,0.14,11,15,10,30,0.14,11,15,10,30
False,0.14,11,15,10,30,0.14,11,15,10,30
False,0.14,13,22,10,44,0.15,12,20,8,40
False,0.12,14,22,11,44,0.12,14,22,11,44
False,0.1,13,16,9,32,0.1,13,16,9,32
False,0.13,13,20,10,40,0.09,18,28,11,56
False,0.09,17,24,13,48,0.08,19,27,13,54
False,0.16,12,21,9,42,0.16,12,21,9,42
False,0.12,16,29,14,58,0.12,16,29,14,58
False,0.14,10,13,8,26,0.14,10,13,8,26
False,0.09,19,30,14,60,0.12,14,21,13,42
False,0.16,12,21,9,42,0.16,12,21,9,42
False,0.1,16,24,10,48,0.1,16,24,10,48
False,0.12,16,28,12,56,0.09,18,29,13,58
False,0.1,15,20,9,40,0.1,15,20,9,40
False,0.07,25,43,16,86,0.08,22,36,16,72
False,0.06,29,47,15,94,0.06,28,43,15,86
False,0.13,14,23,12,46,0.13,14,23,12,46
False,0.07,20,27,10,54,0.07,20,27,10,54
False,0.07,26,46,15,92,0.09,22,40,15,80
False,0.09,16,22,13,44,0.09,16,22,13,44
False,0.13,13,20,12,40,0.13,13,20,12,40
False,0.06,31,57,17,114,0.06,29,52,16,104
False,0.12,13,18,9,36,0.12,13,18,9,36
False,0.1,16,23,9,46,0.1,16,23,9,46
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.06,27,40,13,80,0.06,28,45,12,90
False,0.14,10,13,8,26,0.14,10,13,8,26
False,0.13,17,36,16,72,0.14,16,33,15,66
False,0.13,13,21,11,42,0.12,13,18,11,36
False,0.14,11,15,10,30,0.14,11,15,10,30
False,0.08,21,34,12,68,0.1,15,22,12,44
False,0.06,35,69,17,138,0.13,11,14,8,28
False,0.07,24,39,14,78,0.07,23,37,14,74
False,0.09,16,22,13,44,0.09,16,22,13,44
False,0.17,6,5,5,10,0.17,6,5,5,10
False,0.06,33,61,17,122,0.06,30,51,16,102
False,0.06,28,46,14,92,0.06,27,44,13,88
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.13,13,21,12,42,0.13,13,21,12,42
False,0.14,10,13,8,26,0.14,10,13,8,26
False,0.1,18,31,13,62,0.09,17,25,13,50
False,0.12,13,18,10,36,0.12,13,18,10,36
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.07,20,27,10,54,0.07,20,27,10,54
False,0.05,43,86,16,172,0.13,12,17,8,34
False,0.09,16,22,13,44,0.09,16,22,13,44
False,0.06,24,35,13,70,0.07,20,28,12,56
False,0.07,21,29,11,58,0.1,14,18,11,36
False,0.15,12,20,8,40,0.15,12,20,8,40
False,0.07,19,24,11,48,0.07,19,24,11,48
False,0.11,18,34,14,68,0.11,17,29,14,58
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.14,9,10,6,20,0.14,9,10,6,20
False,0.12,12,16,11,32,0.12,12,16,11,32
False,0.09,14,17,9,34,0.09,14,17,9,34
False,0.06,33,59,13,118,0.14,10,13,8,26
False,0.13,13,21,11,42,0.13,13,21,11,42
False,0.14,10,13,8,26,0.14,10,13,8,26
False,0.17,6,5,5,10,0.17,6,5,5,10
False,0.17,6,5,5,10,0.17,6,5,5,10
False,0.05,43,86,16,172,0.13,12,17,8,34
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.09,22,41,14,82,0.06,33,63,17,126
False,0.1,16,24,10,48,0.1,16,24,10,48
False,0.17,6,5,5,10,0.17,6,5,5,10
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.15,12,20,8,40,0.15,12,20,8,40
False,0.14,10,13,8,26,0.05,33,58,14,116
False,0.14,10,13,8,26,0.14,10,13,8,26
False,0.13,14,23,12,46,0.11,14,20,12,40
False,0.17,6,5,5,10,0.17,6,5,5,10
False,0.13,14,23,11,46,0.14,13,22,10,44
False,0.1,13,16,9,32,0.1,14,18,11,36
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.18,10,16,8,32,0.14,10,13,8,26
False,0.09,18,28,13,56,0.09,18,28,13,56
False,0.12,16,28,13,56,0.12,16,28,13,56
False,0.06,25,37,14,74,0.07,19,25,12,50
False,0.13,14,24,13,48,0.14,14,25,13,50
False,0.23,6,7,5,14,0.23,6,7,5,14
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.15,16,35,15,70,0.15,16,35,15,70
False,0.16,11,18,10,36,0.16,11,18,10,36
False,0.14,10,13,8,26,0.14,10,13,8,26
False,0.14,10,13,8,26,0.14,10,13,8,26
False,0.08,17,23,10,46,0.09,15,19,10,38
False,0.16,12,21,9,42,0.16,12,21,9,42
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.07,21,31,11,62,0.07,21,31,11,62
False,0.17,6,5,5,10,0.17,6,5,5,10
False,0.1,13,16,9,32,0.1,13,16,9,32
False,0.12,12,16,11,32,0.12,12,16,11,32
False,0.1,13,16,9,32,0.1,14,18,11,36
False,0.06,34,66,17,132,0.06,33,63,16,126
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.1,17,26,13,52,0.09,17,25,13,50
False,0.14,10,13,8,26,0.14,10,13,8,26
False,0.17,6,5,5,10,0.17,6,5,5,10
False,0.07,26,47,15,94,0.08,23,38,14,76
False,0.14,10,13,8,26,0.14,10,13,8,26
False,0.13,13,21,9,42,0.13,13,21,9,42
False,0.1,13,16,9,32,0.1,13,16,9,32
False,0.15,12,20,8,40,0.13,12,17,8,34
False,0.17,6,5,5,10,0.17,6,5,5,10
False,0.1,16,23,12,46,0.1,16,23,12,46
False,0.13,13,21,11,42,0.12,13,18,11,36
False,0.07,19,24,11,48,0.07,19,24,11,48
False,0.1,12,13,7,26,0.1,12,13,7,26
False,0.1,18,31,11,62,0.1,18,30,11,60
False,0.07,24,36,13,72,0.07,20,28,12,56
False,0.08,21,33,12,66,0.1,14,19,12,38
False,0.16,12,21,9,42,0.16,12,21,9,42
False,0.14,10,13,8,26,0.14,10,13,8,26
False,0.09,18,29,13,58,0.09,18,28,13,56
False,0.06,28,49,13,98,0.07,25,42,13,84
False,0.06,28,46,12,92,0.06,26,42,12,84
False,0.08,18,25,12,50,0.08,18,25,12,50
False,0.16,12,21,9,42,0.16,12,21,9,42
False,0.06,32,56,12,112,0.1,14,19,8,38
False,0.1,17,27,13,54,0.1,17,27,13,54
False,0.1,14,18,12,36,0.1,14,18,12,36
False,0.13,13,21,9,42,0.13,13,21,9,42
False,0.06,33,61,17,122,0.06,30,51,16,102
False,0.08,17,23,10,46,0.08,17,23,10,46
False,0.1,14,18,12,36,0.1,14,18,12,36
False,0.14,10,13,8,26,0.05,33,58,14,116
False,0.18,10,16,8,32,0.18,10,16,8,32
False,0.07,18,20,9,40,0.12,10,11,8,22
False,0.16,12,21,9,42,0.16,12,21,9,42
False,0.17,9,12,7,24,0.17,9,12,7,24
False,0.08,21,32,11,64,0.08,21,32,11,64
False,0.12,13,18,12,36,0.12,13,18,12,36
False,0.08,16,19,10,38,0.08,16,19,10,38
False,0.08,19,27,13,54,0.08,19,27,13,54
False,0.1,15,20,9,40,0.1,15,20,9,40
