contains_bug,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,add_median_degree,add_num_selfloops,del_num_nodes
True,34.0,61.0,1.7941,1.7941,13.0,122.0,3.0,3.0,1.0,34.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,16.0,22.0,1.375,1.375,8.0,44.0,2.0,2.0,1.0,13.0
True,25.0,43.0,1.72,1.72,11.0,86.0,3.0,3.0,1.0,14.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,24.0,36.0,1.5,1.5,8.0,72.0,3.0,2.0,1.0,23.0
True,14.0,24.0,1.7143,1.7143,9.0,48.0,3.0,2.0,1.0,0.0
True,18.0,36.0,2.0,2.0,10.0,72.0,4.0,3.0,1.0,20.0
True,19.0,34.0,1.7895,1.7895,10.0,68.0,3.0,3.0,2.0,20.0
True,12.0,19.0,1.5833,1.5833,9.0,38.0,3.0,2.0,1.0,9.0
True,20.0,37.0,1.85,1.85,11.0,74.0,3.0,3.0,1.0,21.0
True,34.0,60.0,1.7647,1.7647,14.0,120.0,3.0,2.0,1.0,36.0
True,13.0,17.0,1.3077,1.3077,5.0,34.0,2.0,2.0,0.0,12.0
True,15.0,21.0,1.4,1.4,7.0,42.0,2.0,2.0,1.0,0.0
True,34.0,59.0,1.7353,1.7353,16.0,118.0,3.0,2.0,1.0,29.0
True,25.0,41.0,1.64,1.64,11.0,82.0,3.0,2.0,1.0,24.0
True,21.0,32.0,1.5238,1.5238,8.0,64.0,3.0,2.0,1.0,14.0
True,16.0,22.0,1.375,1.375,7.0,44.0,2.0,2.0,1.0,0.0
True,9.0,13.0,1.4444,1.4444,6.0,26.0,2.0,2.0,1.0,11.0
True,7.0,7.0,1.0,1.0,4.0,14.0,2.0,1.0,1.0,16.0
True,22.0,34.0,1.5455,1.5455,8.0,68.0,3.0,2.0,1.0,14.0
True,29.0,49.0,1.6897,1.6897,13.0,98.0,3.0,2.0,1.0,14.0
True,12.0,15.0,1.25,1.25,6.0,30.0,2.0,2.0,1.0,6.0
True,20.0,28.0,1.4,1.4,8.0,56.0,2.0,2.0,1.0,19.0
True,9.0,11.0,1.2222,1.2222,6.0,22.0,2.0,2.0,1.0,23.0
True,14.0,24.0,1.7143,1.7143,9.0,48.0,3.0,2.0,1.0,0.0
True,3.0,2.0,0.6667,0.6667,2.0,4.0,1.0,1.0,0.0,3.0
True,17.0,23.0,1.3529,1.3529,7.0,46.0,2.0,2.0,1.0,0.0
True,24.0,34.0,1.4167,1.4167,9.0,68.0,2.0,2.0,1.0,18.0
True,33.0,72.0,2.1818,2.1818,16.0,144.0,4.0,3.0,1.0,29.0
True,13.0,14.0,1.0769,1.0769,5.0,28.0,2.0,2.0,0.0,0.0
True,28.0,50.0,1.7857,1.7857,10.0,100.0,3.0,3.0,1.0,33.0
True,23.0,32.0,1.3913,1.3913,9.0,64.0,2.0,2.0,1.0,8.0
True,19.0,25.0,1.3158,1.3158,7.0,50.0,2.0,2.0,1.0,11.0
True,8.0,10.0,1.25,1.25,5.0,20.0,2.0,2.0,1.0,8.0
True,20.0,28.0,1.4,1.4,8.0,56.0,2.0,2.0,1.0,8.0
True,13.0,17.0,1.3077,1.3077,7.0,34.0,2.0,2.0,1.0,4.0
True,14.0,20.0,1.4286,1.4286,8.0,40.0,2.0,2.0,1.0,3.0
True,10.0,13.0,1.3,1.3,6.0,26.0,2.0,2.0,1.0,0.0
True,11.0,14.0,1.2727,1.2727,5.0,28.0,2.0,2.0,1.0,7.0
True,12.0,17.0,1.4167,1.4167,6.0,34.0,2.0,2.0,1.0,7.0
True,23.0,36.0,1.5652,1.5652,9.0,72.0,3.0,2.0,1.0,15.0
True,23.0,36.0,1.5652,1.5652,8.0,72.0,3.0,3.0,1.0,25.0
True,31.0,59.0,1.9032,1.9032,16.0,118.0,3.0,3.0,1.0,10.0
True,33.0,63.0,1.9091,1.9091,13.0,126.0,3.0,3.0,1.0,25.0
True,27.0,46.0,1.7037,1.7037,10.0,92.0,3.0,3.0,1.0,21.0
True,28.0,46.0,1.6429,1.6429,11.0,92.0,3.0,3.0,1.0,22.0
True,13.0,16.0,1.2308,1.2308,6.0,32.0,2.0,2.0,1.0,19.0
True,44.0,95.0,2.1591,2.1591,23.0,190.0,4.0,3.0,1.0,44.0
True,15.0,20.0,1.3333,1.3333,7.0,40.0,2.0,2.0,1.0,8.0
True,11.0,11.0,1.0,1.0,4.0,22.0,2.0,2.0,0.0,14.0
True,6.0,4.0,0.6667,0.6667,3.0,8.0,1.0,1.0,0.0,6.0
True,22.0,38.0,1.7273,1.7273,11.0,76.0,3.0,3.0,1.0,20.0
True,33.0,63.0,1.9091,1.9091,13.0,126.0,3.0,3.0,1.0,31.0
True,10.0,13.0,1.3,1.3,7.0,26.0,2.0,2.0,1.0,4.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,37.0,80.0,2.1622,2.1622,17.0,160.0,4.0,3.0,1.0,20.0
True,18.0,25.0,1.3889,1.3889,8.0,50.0,2.0,2.0,1.0,25.0
True,23.0,32.0,1.3913,1.3913,9.0,64.0,2.0,2.0,1.0,21.0
True,13.0,17.0,1.3077,1.3077,7.0,34.0,2.0,2.0,1.0,15.0
True,27.0,46.0,1.7037,1.7037,10.0,92.0,3.0,3.0,1.0,23.0
True,9.0,10.0,1.1111,1.1111,5.0,20.0,2.0,2.0,1.0,17.0
True,20.0,33.0,1.65,1.65,12.0,66.0,3.0,2.0,1.0,21.0
True,11.0,14.0,1.2727,1.2727,5.0,28.0,2.0,2.0,1.0,11.0
True,18.0,23.0,1.2778,1.2778,8.0,46.0,2.0,2.0,1.0,0.0
True,9.0,11.0,1.2222,1.2222,5.0,22.0,2.0,2.0,1.0,10.0
True,18.0,27.0,1.5,1.5,8.0,54.0,3.0,2.0,1.0,17.0
True,33.0,67.0,2.0303,2.0303,13.0,134.0,4.0,3.0,1.0,26.0
True,23.0,35.0,1.5217,1.5217,9.0,70.0,3.0,2.0,1.0,0.0
True,12.0,17.0,1.4167,1.4167,7.0,34.0,2.0,2.0,1.0,7.0
True,27.0,43.0,1.5926,1.5926,10.0,86.0,3.0,2.0,1.0,20.0
True,6.0,6.0,1.0,1.0,4.0,12.0,2.0,1.0,1.0,0.0
True,5.0,4.0,0.8,0.8,4.0,8.0,1.0,1.0,0.0,5.0
True,19.0,28.0,1.4737,1.4737,8.0,56.0,2.0,2.0,1.0,9.0
True,9.0,12.0,1.3333,1.3333,7.0,24.0,2.0,2.0,1.0,19.0
True,20.0,30.0,1.5,1.5,8.0,60.0,3.0,2.0,1.0,26.0
True,12.0,17.0,1.4167,1.4167,7.0,34.0,2.0,2.0,1.0,12.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,30.0,55.0,1.8333,1.8333,13.0,110.0,3.0,3.0,1.0,25.0
True,18.0,27.0,1.5,1.5,8.0,54.0,3.0,2.0,1.0,0.0
True,39.0,87.0,2.2308,2.2308,17.0,174.0,4.0,3.0,1.0,27.0
True,25.0,42.0,1.68,1.68,9.0,84.0,3.0,2.0,1.0,20.0
True,31.0,54.0,1.7419,1.7419,11.0,108.0,3.0,3.0,1.0,24.0
True,34.0,61.0,1.7941,1.7941,15.0,122.0,3.0,3.0,1.0,31.0
True,29.0,47.0,1.6207,1.6207,14.0,94.0,3.0,2.0,1.0,25.0
True,26.0,42.0,1.6154,1.6154,12.0,84.0,3.0,3.0,1.0,25.0
True,23.0,35.0,1.5217,1.5217,9.0,70.0,3.0,2.0,1.0,20.0
True,13.0,20.0,1.5385,1.5385,8.0,40.0,3.0,2.0,1.0,7.0
True,30.0,53.0,1.7667,1.7667,11.0,106.0,3.0,2.0,1.0,15.0
True,11.0,16.0,1.4545,1.4545,9.0,32.0,2.0,2.0,1.0,6.0
True,11.0,14.0,1.2727,1.2727,5.0,28.0,2.0,2.0,1.0,11.0
True,30.0,53.0,1.7667,1.7667,14.0,106.0,3.0,3.0,1.0,18.0
True,13.0,16.0,1.2308,1.2308,6.0,32.0,2.0,2.0,1.0,11.0
True,26.0,41.0,1.5769,1.5769,9.0,82.0,3.0,2.0,1.0,17.0
True,34.0,66.0,1.9412,1.9412,15.0,132.0,4.0,3.0,1.0,15.0
True,27.0,45.0,1.6667,1.6667,9.0,90.0,3.0,3.0,1.0,15.0
True,13.0,18.0,1.3846,1.3846,7.0,36.0,2.0,2.0,1.0,13.0
True,20.0,29.0,1.45,1.45,9.0,58.0,2.0,2.0,1.0,3.0
True,20.0,27.0,1.35,1.35,8.0,54.0,2.0,2.0,1.0,13.0
True,9.0,11.0,1.2222,1.2222,6.0,22.0,2.0,2.0,1.0,0.0
True,28.0,57.0,2.0357,2.0357,16.0,114.0,4.0,3.0,1.0,31.0
True,32.0,69.0,2.1562,2.1562,15.0,138.0,4.0,3.0,1.0,31.0
True,30.0,52.0,1.7333,1.7333,12.0,104.0,3.0,3.0,1.0,29.0
True,11.0,17.0,1.5455,1.5455,9.0,34.0,3.0,2.0,1.0,10.0
True,19.0,28.0,1.4737,1.4737,8.0,56.0,2.0,2.0,1.0,0.0
True,21.0,31.0,1.4762,1.4762,8.0,62.0,2.0,2.0,1.0,10.0
True,15.0,18.0,1.2,1.2,7.0,36.0,2.0,2.0,1.0,10.0
True,25.0,37.0,1.48,1.48,9.0,74.0,2.0,2.0,1.0,20.0
True,8.0,11.0,1.375,1.375,6.0,22.0,2.0,2.0,1.0,8.0
True,28.0,48.0,1.7143,1.7143,14.0,96.0,3.0,2.0,1.0,28.0
True,33.0,61.0,1.8485,1.8485,12.0,122.0,3.0,3.0,1.0,26.0
True,21.0,29.0,1.381,1.381,8.0,58.0,2.0,2.0,0.0,15.0
True,6.0,6.0,1.0,1.0,4.0,12.0,2.0,1.0,1.0,6.0
True,33.0,66.0,2.0,2.0,15.0,132.0,4.0,3.0,1.0,24.0
True,44.0,106.0,2.4091,2.4091,22.0,212.0,4.0,3.0,1.0,46.0
True,31.0,53.0,1.7097,1.7097,13.0,106.0,3.0,2.0,1.0,40.0
True,6.0,6.0,1.0,1.0,5.0,12.0,2.0,1.0,0.0,6.0
True,7.0,9.0,1.2857,1.2857,4.0,18.0,2.0,2.0,1.0,7.0
True,22.0,33.0,1.5,1.5,11.0,66.0,3.0,2.0,1.0,15.0
True,13.0,19.0,1.4615,1.4615,9.0,38.0,2.0,2.0,1.0,12.0
True,25.0,49.0,1.96,1.96,13.0,98.0,3.0,3.0,1.0,18.0
True,20.0,31.0,1.55,1.55,10.0,62.0,3.0,2.0,1.0,19.0
True,18.0,25.0,1.3889,1.3889,8.0,50.0,2.0,2.0,1.0,18.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,22.0,33.0,1.5,1.5,9.0,66.0,3.0,2.0,1.0,22.0
True,19.0,27.0,1.4211,1.4211,8.0,54.0,2.0,2.0,1.0,28.0
True,12.0,16.0,1.3333,1.3333,6.0,32.0,2.0,2.0,1.0,0.0
True,13.0,23.0,1.7692,1.7692,10.0,46.0,3.0,3.0,1.0,27.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,7.0,6.0,0.8571,0.8571,4.0,12.0,2.0,1.0,1.0,4.0
True,8.0,11.0,1.375,1.375,6.0,22.0,2.0,2.0,1.0,8.0
True,23.0,35.0,1.5217,1.5217,9.0,70.0,3.0,2.0,1.0,9.0
True,11.0,16.0,1.4545,1.4545,7.0,32.0,2.0,2.0,1.0,9.0
True,21.0,33.0,1.5714,1.5714,10.0,66.0,3.0,2.0,1.0,19.0
True,9.0,11.0,1.2222,1.2222,6.0,22.0,2.0,2.0,1.0,16.0
True,44.0,92.0,2.0909,2.0909,18.0,184.0,4.0,3.0,1.0,46.0
True,19.0,31.0,1.6316,1.6316,9.0,62.0,3.0,3.0,1.0,19.0
True,21.0,35.0,1.6667,1.6667,9.0,70.0,3.0,3.0,1.0,0.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,29.0,53.0,1.8276,1.8276,11.0,106.0,3.0,3.0,1.0,27.0
True,37.0,68.0,1.8378,1.8378,12.0,136.0,3.0,3.0,1.0,33.0
True,7.0,9.0,1.2857,1.2857,4.0,18.0,2.0,2.0,1.0,7.0
True,21.0,32.0,1.5238,1.5238,9.0,64.0,3.0,2.0,1.0,23.0
True,18.0,27.0,1.5,1.5,9.0,54.0,3.0,2.0,1.0,0.0
True,8.0,8.0,1.0,1.0,4.0,16.0,2.0,2.0,0.0,8.0
True,4.0,3.0,0.75,0.75,3.0,6.0,1.0,1.0,0.0,0.0
True,21.0,29.0,1.381,1.381,8.0,58.0,2.0,2.0,1.0,24.0
True,37.0,82.0,2.2162,2.2162,15.0,164.0,4.0,3.0,1.0,37.0
True,24.0,45.0,1.875,1.875,12.0,90.0,3.0,3.0,1.0,24.0
True,25.0,42.0,1.68,1.68,11.0,84.0,3.0,2.0,1.0,23.0
True,15.0,20.0,1.3333,1.3333,8.0,40.0,2.0,2.0,1.0,9.0
True,14.0,20.0,1.4286,1.4286,7.0,40.0,2.0,2.0,1.0,14.0
True,13.0,15.0,1.1538,1.1538,7.0,30.0,2.0,2.0,0.0,12.0
True,25.0,41.0,1.64,1.64,9.0,82.0,3.0,3.0,1.0,0.0
True,12.0,16.0,1.3333,1.3333,9.0,32.0,2.0,2.0,1.0,8.0
True,10.0,10.0,1.0,1.0,5.0,20.0,2.0,2.0,0.0,13.0
True,29.0,49.0,1.6897,1.6897,10.0,98.0,3.0,3.0,1.0,28.0
True,16.0,22.0,1.375,1.375,7.0,44.0,2.0,2.0,1.0,16.0
True,13.0,16.0,1.2308,1.2308,6.0,32.0,2.0,2.0,1.0,13.0
True,19.0,29.0,1.5263,1.5263,8.0,58.0,3.0,3.0,1.0,7.0
True,23.0,32.0,1.3913,1.3913,9.0,64.0,2.0,2.0,1.0,0.0
True,21.0,39.0,1.8571,1.8571,14.0,78.0,3.0,2.0,2.0,22.0
True,25.0,42.0,1.68,1.68,11.0,84.0,3.0,2.0,1.0,20.0
True,14.0,18.0,1.2857,1.2857,10.0,36.0,2.0,2.0,0.0,15.0
True,27.0,47.0,1.7407,1.7407,11.0,94.0,3.0,3.0,1.0,28.0
True,31.0,60.0,1.9355,1.9355,13.0,120.0,3.0,3.0,1.0,17.0
True,18.0,28.0,1.5556,1.5556,8.0,56.0,3.0,2.0,1.0,19.0
True,6.0,6.0,1.0,1.0,4.0,12.0,2.0,1.0,1.0,0.0
True,8.0,11.0,1.375,1.375,6.0,22.0,2.0,2.0,1.0,0.0
True,33.0,59.0,1.7879,1.7879,15.0,118.0,3.0,2.0,1.0,33.0
True,17.0,28.0,1.6471,1.6471,9.0,56.0,3.0,3.0,1.0,9.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,8.0,8.0,1.0,1.0,4.0,16.0,2.0,2.0,0.0,8.0
True,11.0,13.0,1.1818,1.1818,5.0,26.0,2.0,2.0,1.0,11.0
True,29.0,46.0,1.5862,1.5862,10.0,92.0,3.0,2.0,1.0,0.0
True,9.0,11.0,1.2222,1.2222,6.0,22.0,2.0,2.0,1.0,7.0
True,21.0,33.0,1.5714,1.5714,9.0,66.0,3.0,2.0,1.0,21.0
True,21.0,39.0,1.8571,1.8571,12.0,78.0,3.0,3.0,1.0,12.0
True,10.0,11.0,1.1,1.1,5.0,22.0,2.0,2.0,1.0,10.0
True,24.0,39.0,1.625,1.625,11.0,78.0,3.0,2.0,1.0,0.0
True,24.0,37.0,1.5417,1.5417,9.0,74.0,3.0,2.0,1.0,24.0
True,32.0,61.0,1.9062,1.9062,16.0,122.0,3.0,3.0,1.0,32.0
True,29.0,55.0,1.8966,1.8966,13.0,110.0,3.0,3.0,2.0,21.0
True,13.0,17.0,1.3077,1.3077,7.0,34.0,2.0,2.0,1.0,5.0
True,8.0,9.0,1.125,1.125,4.0,18.0,2.0,2.0,1.0,13.0
True,19.0,28.0,1.4737,1.4737,10.0,56.0,2.0,2.0,1.0,12.0
True,33.0,59.0,1.7879,1.7879,17.0,118.0,3.0,3.0,1.0,31.0
True,8.0,9.0,1.125,1.125,4.0,18.0,2.0,2.0,1.0,0.0
True,9.0,13.0,1.4444,1.4444,7.0,26.0,2.0,2.0,1.0,9.0
True,15.0,20.0,1.3333,1.3333,7.0,40.0,2.0,2.0,1.0,13.0
True,12.0,18.0,1.5,1.5,10.0,36.0,3.0,2.0,1.0,7.0
True,22.0,29.0,1.3182,1.3182,10.0,58.0,2.0,2.0,1.0,15.0
True,14.0,21.0,1.5,1.5,7.0,42.0,3.0,3.0,1.0,13.0
True,3.0,3.0,1.0,1.0,4.0,6.0,2.0,1.0,1.0,3.0
True,20.0,31.0,1.55,1.55,8.0,62.0,3.0,2.0,1.0,20.0
True,27.0,48.0,1.7778,1.7778,12.0,96.0,3.0,3.0,1.0,25.0
True,23.0,37.0,1.6087,1.6087,9.0,74.0,3.0,2.0,1.0,26.0
True,19.0,26.0,1.3684,1.3684,9.0,52.0,2.0,2.0,1.0,22.0
True,29.0,56.0,1.931,1.931,11.0,112.0,3.0,3.0,1.0,27.0
True,34.0,65.0,1.9118,1.9118,14.0,130.0,3.0,3.0,1.0,27.0
True,26.0,42.0,1.6154,1.6154,12.0,84.0,3.0,2.0,1.0,19.0
True,8.0,8.0,1.0,1.0,4.0,16.0,2.0,2.0,0.0,8.0
True,33.0,61.0,1.8485,1.8485,13.0,122.0,3.0,3.0,1.0,31.0
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
